text
"I'm at 東京都庁 (新宿区, 東京都) w/ 4 others http://t.co/I4474TKx"
この発想は無かったわ（笑） http://t.co/K4kDYvdn
そうそう、今更だけどFateとか見はじめた。TIGER&BUNNYとか、夏目友人帳とかも。
今日の講義は農業政策だったけど、関心はあっても、キチンとは勉強して来なかっただけに凄く勉強になったな。通説的にはこうだと思われていることが、実は逆だったり、とか。巨額な農政予算とか、日本の水産の衛生基準の高くないこととか。
@ahh_lucky 今は2店舗しかないよー
@bar80sjr YAZAWA分からなくても行っても大丈夫ですか？？
@twitatara 髪は黒髪限定ですかね？来月バッサリやるー！
@bar80sjr ですよねー
@twitatara うしし。ざーねん。ディズニーのキャストでもやろうかと(笑)
@ahh_lucky あ、金沢にはお兄さんのお店あるんだよね〜！
@masatottori 今月で辞めるのでアリマス。
@perfume__love おいらも。はらへた。
ラーメン食べたい。なんでんかんでんのラーメンが食べたい。
@tokumeitan とくめいたん、見においで♪
ブログを更新しました「卒業まであと僅か」 http://t.co/ZYANjLpg
@sa_ra_ca そふとどりんく飲み放題で！
@twitatara いぇす。今月で、辞めちゃうよ〜
@sa_ra_ca 折角だから覗きにおいでよ！
@Kanameginga あざまーす^^
@Saoril_April 初回という手が。。
@Gsamakyabe わっちょい！ウォターリリーおにぃも買ったよ〜いい匂い☆
@sa_ra_ca そだよん
@Saoril_April おまいさんにはぜひ一回来て欲しかった〜
近所の事件、進んでたんだ！>> 20代会社員の男性聴取　浦安・女性看護師殺害 http://t.co/GVqnaVF8
ヘアメするのもあと6日かぁ。まぁ、悔いの無いように頑張ろう。
@Akb4848Ske4 来るの？今月で、辞めちゃうけど。、わ
@harusoul369331 ダメだわー。おはよー
@bluecastle7 ありがとう♪
@sa_ra_ca ありがとう～
@tomoyuki_ishi おお、懐かしい。
@kootan_8 うん。ありがとう～
@fmfm_tktk あはは、ありがとー
@harusoul369331 さんきゅ。
@karenchan9 そっちのやるきかｗ
@Kanaske_ そうしよう。
とりあえず風邪と熱で、横になってます。ヤル気の出るアニメかドラマ下さい。
@denkiiruka あいたいな～
@tsuzakiliana おだいじに～
@denkiiruka さとまよちゃん♪
@Akb4848Ske4 歌舞伎町だよう～
@opanpon しよんぼりーん。
@opanpon いいね！
@asoutomtom 本人です(笑)
@marshnon おやまぁ。
今日は、飲みまくるぞー！！
試験終った。おつかれ私。うっかり1科目多く解いてしまったことは忘れよう。
@Akb4848Ske4 やってるよん
明日は試験っ頑張るにゃん！！
@13731371 こちらこそ♪
@ZabonKitayama おはざーます！
@chika_t1229 夢枕wwそんなオイシイ夢じゃなかったドス(笑)←違う意味でとりました。
@chika_t1229 わっしょーい！こないだちかちゃんが夢に出てきた！また会いたいな〜てことでお休みっ！
@chika_t1229 わー！ちかちゃんちかちゃん＞＜
@chika_t1229 おやすみー。あれ？まだ池袋？
@yumeon57 なるほど。　あざっす!
@bar80sjr なるほど。
何このサイレン＠浦安
@anego_tw おかえり。
@paddlepolarbear おお！私はオークランドに２〜３年です！
ダイエットとは継続する努力であり、終わりはないのです。
@milksasya @kiwipon 折角だから、一緒に参加しちゃいませんか。森下さんの記事、楽しみにしてまーす♪
面白いｗ＞＞『脳学校』ベーコン研究所　民間研究員募集 http://t.co/0633W9U9
@yurikokai @umekida ユリコカイスペックでそれは安いと思う。
学校で政治家のソーシャルメディア利用分析とかやっているのでご協力いただけると嬉しいです。政治家のソーシャルメディア利用分析その1 http://t.co/X0sgWvKg  その２ http://t.co/vtsKP6vM
@keikokeiko55 かわいこちゃんめええええ。早く会いにおいで♪
@kanonn82 いつから呑んでるの（笑）
@keikokeiko55 そんなにお久しぶりかなぁ？？＾＾
@perfume__love あらかわいそうに
@keikokeiko55 ごろりーん♪
@ahh_lucky 行ってらっさい。気をつけてねん
@ahh_lucky 平子が出てきた辺りから読んでないなぁ
@opanpon ww
@perfume__love 新聞紙★
@ahh_lucky あー、最近、ブリーチは読んでないなぁ
@ahh_lucky ワンピースぐらいしか読んでないけどね〜
@punisuke_house よしよし^^
@perfume__love おっぱw
@perfume__love だおだお♡
@perfume__love フォフォフォ。愛しとう！
@punisuke_house かぁいそうに。。
@risa_2547 エイサー！
@Reika0114 マグロというやつですか。
@Reika0114 ペロペロ☆
@Reika0114 彼女の席はレイちゃんのために空けてある。なんてね(笑)
@Reika0114 そんなの居ないぞ(笑)ストーカーはたくさん居るかもだけとねぇ(苦笑
今日はプチイベントで、日本代表が勝った瞬間から淡麗が半額になるポヨ〜！！
@suzyyhan じゃんねん！
@Reika0114 つけ麺じゃなくてゴメン
@Akb4848Ske4 わかんなーい
@reika0114 もちろんレイちゃんでしょう？
@Reika0114 ふぇふぇふぇ。なるほど。
@teizuisun おやしゅみん☆
@teizuisun 特別視することはいいことだと思っていないのだ。一部の奉仕者であるよりは、全体の奉仕者でありたいの。（特にプライベートでは）妹は別。シスコンだからねｗｗｗｗｗ
@teizuisun かわいこちゃんめええええ
@teizuisun 本質的な美しさを引き出すのだ。（で、付き合ったりとかはしたくないらしい）
@teizuisun 俺は、楽しませることで笑顔にしてもっと可愛くしたい。ファッションセンス無いんでｗｗｗ
@fuwafuwaikiru ありゃりゃ、お大事に。。
@teizuisun どうしたかわいこちゃん。
やばいなｗなんか色々とヤバイなｗｗ
@onoshu2 昨日はありがとうございました~♪
@marinamatsuoka 昨日はありがとうございました～♪
@sakaima 昨日はありがとうございました！
ネット上の誹謗中傷って事実関係を確認せずに拡散したり、叩いたりする奴居るよねぇ。あれ何とかならんのかなぁ。
@masa_minno @yuripoipoi おいおい。。警察に通報しようか？
@ahh_lucky おいでよ(笑)
揺れてるー
有終の美を飾りたい。
@Kanaske_ 傘買う。。。
@Kanaske_ こないだ、折りたたみ傘買ったばっかりなのに、家に置いてきた。。。ヤフーの天気では晴れマークやで！！
あ、雨なんて予報は聞いてないぜ！
@JunItabashi 卒論プロジェクトで企業の結婚、出産、女性、子供への取り組みに関するヒアリングです〜。
I'm at 杏林製薬 http://t.co/BIIXc7ai
@copenat おいらじゃないでつ。
@bluecastle7 がんばりましょう～
お誕生日おめでとう。
簸川 にいます。 http://t.co/egOoGl1j
今日の授業は元経産省の古賀茂明先生の講義です！
なんか色々とありがたくて、泣きそうになってきた。がんばろ。
@jaicotton あ、でもぉ、オレは日光を浴びると溶けるのだ。
@jaicotton 歌舞伎町に来ればいつでも♪(笑)昼間とかなら割といつでもー夜は厳しいかなぁ。
@sa_ra_ca しんじゅくしんじゅく～
@jaicotton 猫可愛がりしたいおｗｗ
@Kanaske_ いろいろありがとうにゃ。
その一声で、政治は変わる - インターネット選挙運動解禁に向けて #one_voice http://t.co/2fyAUaqi @OneVoice_PRさんから
@infinitysherry やっぱり福岡県なのね（笑）
@copenat ですよね(笑
@fake_fate 里が果になってますよねww
@mm914kk 裏
@ryuhaido 裏
@fake_fate ですよねww
この写真のおかしいトコに気づくかなぁ？ http://t.co/N0j7PJRF
あ、ヤバイ、ブラックきういぽんが覚醒しそう。
@chanpon22 昨日はこんな感じ。 http://t.co/WPPpSyxZ
@chanpon22 わはは、残念〜
@JunItabashi 仰る通りですが、諦めて腐ってる訳じゃないですよ〜
@chanpon22 カメラのすぐ近くでしたね〜そして、お席にはいらっしゃらず。。。
@SE_sbs_TK そうですよん
サンデル教授の引きつり笑いにウケタww
@sleeplesssheep セット美容室で1500円かけてやっています。
@chanpon22 通路に近いあたりでしょうか。あとで探そう（笑）おいらは真正面！
東京国際フォーラムのホールAここにくるのは、ソフトバンクの株主総会以来かなぁ
@kumakotou 招待枠です〜♪
@chanpon22 お！おいらは一階席の19列33番に居りますよ。紙型めちゃ目立つww
これからサンデル教授の白熱教室に参加するために、有楽町へ！
@kwbtrom あいやー、お気をつけて！
@ririco999ringo あら、ご近所さん！
@marineaquarium3 一瞬でしたねー！
@JunItabashi ありがとうございます♪これで、ナンバー上位に組み込めれば悔いはないかなぁって感じですが、今月はナンバー外の可能性も出てきた。。。orz
@perfume__love わっしょい！
なんだこの土砂降りは。。。＠浦安
昨日は、人生で初のラスソンを歌わせて頂いた。めっちゃ緊張したけど、嬉しかった。応援してくれた姫に感謝＞＜
@moemilk_ そかそか、それなら良かったなり〜♪
@moemilk_ そかそこ、それなら良かったなり〜♪
今更ながら、DJ OZMAのスパイダーマンと六本木ツンデレラにハマってます(笑)
腹筋崩壊ww>> 痛いニュース(ﾉ∀`) : イタリア自転車ロードレース実況中に放送事故　ヘンタイあらわる http://t.co/7xouhObg
@shinonome313 どったん。
@moemilk_ どったん。
@sayorin811 おはよぉー
@teizuisun おいれ～。
んー、シダックスって高いよネ？
たこパーしたいう。
@teizuisun え、これ、つかれてるんだ！？(笑)
@sayorin811 結局、さよりんには会えずじまいやなぁ。
@teizuisun こんなんもあるお http://t.co/QsXDYthv
@sayorin811 さよりんかわーゆ。
@sayorin811 創業イベントっぽ。
だみだ。すべての事にウンザリした。幕を引こっかな。
明日朝6時に、ユニクロ行きたい。オレンジ色のトート欲しい。
ブログを更新しました「髪切った」 http://t.co/0ctgkPPU
@pindorapindora まぁ、そんな大した事してませんけどね〜んじゃ是非、ウチにも遊びにきて下さいな(笑)
やっと仮眠でくる。おやす。
髪色どうするか迷ったところ、アッシュ入れたら？って美容師さんに言われた。どうしよかなぁ。
@openarms1986 うんうん
@niinaryo 見に行こうかね！！
@JJ1203My ww
最近ショーパン女子が増えた気がする。ショーパン可愛いよね★
よく考えたらラスソンって歌ったことないなぁ。
@ahh_lucky おかねないお。。。
@hayakana まだやってるお。
"インターネット選挙解禁に関する院内集会に来ています。 #onevoice RT @kiwipon: 衆議院第一議員会館 にいます。 (千代田区, 東京都) w/ 5 others http://t.co/gg7KIOWo"
今日は暑いな〜
@henboku09 残念～
@henboku09 残念〜
@henboku09 飲みくる？飲みくる？
@keikokeiko55 店でイベントなんだけど、指名が居るなら学校終わってから顔出そうかなぁって思ってたの。
@henboku09 お酒は飲めますか？（笑）
@niinaryo おつ～
明日、22時以降空いてる人居ないかなぁ〜
@picacc うん。
@keikokeiko55 おつー。
東洋経済買わないと。
かーえろ。
@teizuisun おやおやばななをあげよう。
曇ってるお陰で裸眼でもおk(真ん中の丸い奴ね http://t.co/XSxPVQsK
この金環日食を観ながらプロポーズとかしたら格好良いな。誰かケコーンしよう。
なんか、めっちゃ眩しくないですか？
ブルーツ波やばいな。誰か大猿に変身しそう。
@asoutomtom しょんぼりー。
@asoutomtom 浦安からだと間に合わないかな。。。（´・ω・｀）
@asoutomtom カタチ変わってきたよ～でも、くもがかかってみられなくなった～
なんか欠けてきた。眩しい～
@asoutomtom どこまでとりに伺えばイイかしら？ｗあ、欠けてきた。
@asoutomtom 何でみっつも。。。借りに行こうかなぁ(笑)
@showgo アザッス
@copenat ですよね〜
@miyumilk45 おお！
@FuruyaBunta ありがとうこざいます！
特に準備して無いので普通のメガネで見ます！！ RT @shintakezawa: @kiwipon 日食ですよ。直接みちゃダメですよ。
あれ？今日って日蝕？
@infinitySHERRY いや、そこまではがんばんないよ(笑)
@ahh_lucky 坊主にはしたくないぞ。
@y_yuripoipoi ども。
@pamyorin セット美容室じゃないから有り得ないー
@goldman432 そうなんだ。絶対利用はしないケド(笑)
22か23で髪切ろうかな！23に国会議員会館行くから、そっちが有力！
都営新宿線は路線内でも電波が入って、メールができるのが便利だなぁ。
@perfume__love クルクル詐欺(笑)
@ohno_miyuki そうね。
@ririco999ringo 狼ばばってww
@infinitySHERRY どもども。来るよ〜来るよ〜って言って、お客さんが来なかったりする事が多くてねぇ。
ホスト初回は、遅い時間だとナンバー陣が回れなかったりするから、勿体ないかも。ただ早すぎてもナンバー上位は出勤時間が遅くて居なかったりするんだけど。
昨日の徹夜明けでレッドブル飲み過ぎた反動でカラダが重い。。。
なんか、自分が狼少年になってるみたいで嫌だ。
学校で卒論プロジェクト中〜
MINTIAヤケ食い。
@nos_da どったん
ここ三日間、終始満卓だったのに。オイラは、今日はお茶引きっぽい。ヤヴァー
@uno_animo まさに。
生きてるのが申し訳ないレベル。
@ZabonKitayama ありがとうわっしょい！
オリーブオイル顔てあるのか(笑) RT @minnie480811tao: @kiwipon オリーブオイル？ http://t.co/HJrVOFeE
@jaicotton 気分的にオリーブオイルを使って料理しました(笑)
ですよね〜 RT @teim1978: @kiwipon 解雇規制なんてなくしちゃえばいいんです。そして、世の中の価値観変えちゃえばいいんです。
@sayuri1119 うん！
@BarthDear (笑)
@ahh_lucky なんだい♪
@pindorapindora いちお、おいらも歌舞伎町のナンバーホストでつ。よろしくにゃん。
今日はもこみちに似ていると言われた一日でした。
@JunItabashi 感謝！
@teim1978 ですよね～
@h199h179h ありがとうごさいます！よろしくです♪
@korokoro215 かわいいサングラスちゃん♪ありがとうごさいます！よろしく☆
@rokoshio ♪
@lisa_takeda ナカーマ♪
@2JZGE ですね♪
@yui797 がむばりましょう！
@yuhei216 こちらこそありがとうごさいます！
@KATUYA928 こちらこそありがとうごさいます！
@masa0504jin よろろ♪
ワンピース読んでてふと思ったのは、本当に重要なのは仲間だなぁってコトです。
@pindorapindora ん、なんかおもしろそうな人だね。
野菜の森、美味しかった！最後に、裏で全部食べた(笑)
@pindorapindora @2JZGE いや、今日は熱いてしょ！
@ark61168 よろしくにゃんこ♪
人材の流動市場が無い事が日本の問題だよね〜国家公務員も一種二種とかの身分制度があって、実力主義じゃないし。
店で、シャンパンコールの練習をしてミーティングしたあとに、ヘアメして学校へ。今日はみんなの党の渡辺喜美たんの講義だお終わったらお店に戻るお。
テキーラや焼酎ビンだでめちゃくちゃ飲みまくって、気を失って、ゲロ吐いて、泡吹いて、倒れてたら、あんなに悩まされていた咳がピタッと止まった。アルコールと胃液で消毒されたみたいだね。ご心配&アドバイス頂いた皆さま、ありがとうございました♪
洗濯しないとなぁ。。。
@openarms1986 お酒。
潰れた。らしい。。。
処置完了♪
@keikokeiko55 んだねぇ
独り言:これがラストチャンス
ちゃんと、心を入れ替えて正直者になることが大切ですね♪
@shintakezawa ういす。
@erina1121 うぬ。そうなんだよね。聞いてる方も何がホントで何がウソか解らなくなる。最近そんなお客さんが来ました。
@ahh_lucky だよね〜
こないだピノキオを観て感じたことは一回嘘をつくとそれを誤魔化すためにまたウソをつくコトになる。結果、ウソをウソで塗り固めるコトになってドンドン鼻が伸びるんですね。
@JapanEdge 私も、うどんは好きなんですがね〜(笑)
@aozora_nyanko ありがとうございます。いつ来てくれますか？(笑)
@lady49japan ほほーぅ
@hukumaru2215 てへぺろ☆
@kainn_naema ナカーマ♪
@spiritswitch そうですね！ありがとうございます！
@bonehookj あざっす！
蕎麦風うどん(笑) RT @vxxvvxxv: @kiwipon 蕎麦粉高いですから、安い蕎麦は八割が小麦粉になってます。 もはや蕎麦風うどんですよね（笑
ダイエットのためだと思って食べていた蕎麦が、蕎麦粉10%で残りは小麦粉だと知って。あんまり意味がないジャンという残念なコトに。。。
毎晩の咳のお陰で、腹筋がだんだん見えてきた(笑)
すごい雷雨だなぁ
@nokinokiroa いいね！！
@JKS_antkate @suzaku8879 アザマース！
@JKS_antkate にゃるほど！
@stefansk1979chi ほうほう。ありがとうございます。
@everblue92 ですねぇ
@89matsuno ほほほぅ。ありがとうございます！
@marunibus なるほど。ちなみに、うつ伏せで寝てます！
@Tets_BR ありがとう〜
@Togarigger にゃるほど。いちお、マスクしてるんだけどねぇー
@cantysex かもかも？
うん。最近は夜は咳が止まらんので、明け方になってからやっと寝られるってパターンが多いなぁ。それにしても何で咳って夜になると出るんだろう？？
ブログを更新しました。 『田村耕太郎 前参議院議員』 http://t.co/9PCqx3GC
自ら個人としての人生を放棄していることから、いろんな綻びが出てくるのぅ。。。
@jaicotton 可愛ういう〜
@Bluecastle7 あはは、ありがとう〜。落ち着いたら、本返しに行くある！
@kenji197503 ありがとうございます！日本酒風呂というのが気になるので調べます！
@yu_da_ma ありがとうございます！
@openarms1986 行くといいよ
@Masaharu_emiemi たくさんとります！
@lovepeaceworld ブラームスさん、一度おいでよ(笑)
@jaicotton ありがとうぺろぺろ。
@jaicotton 昼間は来るんだ(笑)
@jaicotton あ、いや、今、歌舞伎町でして。。。(笑)
@jaicotton Σ(ﾟ∀ﾟﾉ)ﾉｷｬｰ来てくれるとお兄さん嬉しい！
こういう時に誰か来てくれると、オレは泣いて喜ぶんだろうなぁ(笑)
うん、サウナ行ったら新陳代謝が良くなり過ぎて、汗がハンパない〜
@coachnal 飯を食わないとな！？
@sk1112t01272 昔はそれで治しましたわ
@risacca73 えへ。可愛いでしょ
@Kanaske_ 昔はそれでナオシテタ。。
サウナ入ったら体調回復するかなって思ったけど、そんな事もなかったぜ(笑)昔の職場の上司が、風邪引いた時はサウナ入って、いっぱい汗かいて治してたなぁ。
@yraia おお！
@tohatt お、おひさー。それは良かったね♪
@fuwafuwaikiru 愛知はそうなんやね〜
@memechan703 そのTシャツ欲しいです(笑)
@celica0109 てへへ。半分はプリクラの力です。
@infinitySHERRY ちと、それには金がなさすぎるかなぁ。。って感じです（苦笑
@kkiyoi カタマリ(笑)
台風かよって思うぐらいの強風だなぁ。
野望の王国　読みたいなぁ
@Kanaske_ あるある(笑)
@infinitySHERRY どうかなー
@shintakezawa んー、どこがー！？
@JunItabashi ありがとうございます。豆腐納豆とかCCレモンとか意識して摂取してたんですけどねぇ。もっと気をつけます！
「日本人彼女募集中」って書かれたTシャツを着ている外人が居た(笑)
@infinitySHERRY およ。まぁ、たぶん、来る頃には辞めてそう(笑)
@lady49japan 来る来るって言って来ないコト(笑)
@frrnky92 来る来るって言って来ないコト(笑)
@oririri 来る来るって言って来ないコト。
@k1300rs 来る来るっていって来ない人かね〜
@Gumoco 回る訳じゃないよ(笑)
@CoCoPeripink ありがとうよろしく☆
@Yutaka0745 ありがとうございます！
@ahh_lucky ありがとΣ(´∀｀；)
@JunItabashi そうですよねー(-_-;)
@jennifertokyo そうやねー。せめて食生活だけでも。んで、ジェニファーいつ来るの？(笑)
@purezou88 風邪っす(笑)
@ELENTALER たぶん、不規則な生活と、栄養不足。そして過労。
@yoichi417 ですねー。
@dolphin_33 まぁ、そんなとこでしょう。
@Keiiku_Maeda ないないwww
@coconuts_2 まぁ、結構。
@tks1404 ありがとー
@KurohimeJP ありがとー
@scorpion_zu 残念(笑)
歌舞伎町でよくあるもの。クルクル詐欺(笑)
誰かこのゲホゲホ止めて。。。今年に入って、毎月風邪引いてるｗそれまでは全然風邪引かない体質だったのに。馬鹿じゃなくなったってことですね（笑）
@k_n_a_k_ 1500円
@natuiruka_107 あざっす！
@Reika0114 いぇあ☆れいちゃーん☆
@Reika0114 いぇあ☆
@sa_ra_ca ♪
@y_natsui いぇあ☆
@ahh_lucky 残念。。
@scorpion_zu いいね！
@sayorin811 おーっ！
月が綺麗ですね。
90分、ビールカクテル焼酎飲み放題って安いと思うんだけどなぁ〜
夕涼みの季節が好きです。
@openarms1986 梅雨っぽいねぇ
@perfume__love 確かに。。
@yuripoipoi 今日もね。。。
今日の蒸し蒸しする感じ、いゃだなぁー
@chiikin_ 大丈夫だぁ～
@GreenOnPink ありーがとお
@celica0109 えー、えーえー
@openarms1986 (∀｀*ゞ)ﾃﾍｯ
@akira_042163 ちょりちょりーっす★
@teizuisun ま、いろいろと。そして、五月になっておった。
@sayorin811 うにゅ。。
@keikokeiko55 こわいこわい。
悪い影響受けちゃうからね。
嘘ついたりする人を、相手にするのを辞めるようにしよう。
@sayorin811 通勤経路！
@autumndartar こあい！
@jennifertokyo そそ。
自宅から歩いて1分位のところで殺人事件が起きててコワス。。。
@lovepeaceworld ひかくてきすいてます。
@Bananaman0_0 雨ディズニーは空いてて良いですよ〜★ま、そろそろ撤収かなって感じだけど。
@ugg26072 雨だからこそディズニー☆
@shintakezawa てへぺろ
@silviotjusto ？
@ririvanilla13 ホストですからー！
@everblue92 おはざーます！あざっす！
@karenchan9 にゃは。
@risacca73 ホストだべ。かっこいいでしょ。
"I'm at ボン・ヴォヤージュ (BON VOYAGE) (浦安市, 千葉県) http://t.co/8e657waS"
I'm at ディズニー・イースターワンダーランド http://t.co/4LZ89Aat
@pe_ichi13841687 ま、良かったら覗きに来て下さいよ(笑)
@nano_curo わっしょい！
@risacca73 なみぃいい
@teizuisun いいね！
@nexus7proto じゃんねん
@tamami0805 雨嫌じゃん。
@pe_ichi13841687 なんも出ませんよー
@yoppy35momo やってるうちに見に来てくだされ(笑)
@sa_ra_ca 雨嫌じゃん〜
@pe_ichi13841687 そうですよ〜
今月も頑張るぞおおお。目指せナンバーワン！
明日曇りますよーに★
【ブログ更新しました】＞ 初ナンバー http://t.co/dSeY2ANs
あーそういえば、No.9じゃなくなったのか。セレソンNo.9・・・
さて、５月からは拡大移転して営業。新しいハコはめっちゃ綺麗な感じだった～楽しみです！！
@ahh_lucky thx！
@reika0114 りんご命なんだｗ
@teizuisun おやすみん。
@shintakezawa のつもり。
@dck_k 来月まで。が目標
さて、今日は締日をジタバタしてもしなくても締日。今日で次月のナンバーが決まる。頑張ろう。
LINE死んでる？
まぁ、応援してくれるお客様には本当に感謝だなぁ〜(*´∀｀)まいしとぅ！
@ahh_lucky てわけでありがとう〜
@yoppy35momo あざっー
@ahh_lucky ふひひ。ありがとう〜
