text
そろそろ向き合わねばならんな、唐揚げを味噌汁に浸して喰う俺氏と。
【悲報】俺氏「なぜヒトは抗えきれないのだろうか」。 https://pic.twitter.com/gDILID4g9c
【悲報】同じグループの同僚たちで飲み会に行くんだが、僕だけ呼ばれてない。
【悲報】飲み会に呼ばれなかった俺氏、独り飲み会を計画をしているとなにやらオシャレな場所に来た。どーこだ？@東京 https://pic.twitter.com/iZ0fq3aqWk
@Nekomesi むふふふ。実はそうなんだ。今度ご飯行こうＵ´ㅈ｀Ｕノ
@Jonny007CU ラブが足りないのよ、ラブが。悲しみを原動力に変えるためにギャグとして呟くのよ。愚痴れる相手がいなくてつらたん。
【吉報】俺氏、アスキーアートポテチに出会う。 https://pic.twitter.com/gXiRLKknZm
【悲報】新入社員な俺氏、とうとう会社に馴染むのを諦め、休憩時間をTwitterのために使い始める。
@tori_toritorin いやいやいや。自分が馴染めなければ、相手を染め上げればいいんだ。まず階級上げるぞい。 #頑張って #前向き
@tori_toritorin うむ、まずスタートとして好きなアニメ教えた。
@tori_toritorin まず僕が見るところからだわ。頑張るぞい。
【悲報】元軽音サークルの俺氏、会社帰りのカラオケでギターソロの部分でエアーギターをした結果、同僚がうろたえる。
【悲報】俺氏のネクタイ、意図せず洗濯機行きになってて死亡。。。 https://pic.twitter.com/SdlsbYCDKJ
@gedou1000 たぶんこれは3-4000円くらいかと。高くないけど、僕のレベルだとこれが現在最も高いネクタイだったり、、（白目）
【吉報】俺氏、誰かに持ってかれてしまう系アイテム｢ダンボー｣を再購入。お薬も買ってきたし、今日からまたハッピーライフ。 https://pic.twitter.com/zjXvegtxt1
夕食は、万かつサンド。ふふふ、最後になってやっとゴールデンじゃないか、俺のゴールデンウィーク！ https://pic.twitter.com/gZlfQtZ0GO
【悲報】俺氏、浅草寺で友達見失う。そして彼のスマホにSIMカード入ってないなう。どうしたものかなう。 https://pic.twitter.com/Sswu8xMjRD
@Ni25G_n 年齢がオーケーだからヘラヘラしてるけど、本来ビビりべき。とかいいながら有名な(？)メロンパン屋に並んでる俺氏なう。
@zelkovatreefolk 呼び出したくない年齢笑
企業の犬と化したルフィー。 https://pic.twitter.com/KNEfcgdJuu
俺氏meetsモンハーン。 https://pic.twitter.com/FHNARawedo
俺氏meets肉。食べます。 https://pic.twitter.com/K4P7RjklSx
くふふふ、俺氏meetsトリュフなう。 https://pic.twitter.com/v3tr5KYDbZ
@aramakisan こんなん。二回頼まない系ゴージャスだわ。 https://pic.twitter.com/FqWdm5QfzR
@aramakisan 思った味と違うくて箸が動かないっ！？でした。
【吉報】俺氏、新宿駅地下の遊戯王全カード展示に来た。 https://pic.twitter.com/45v0CGmH9K
@aramakisan それは存じ上げません。しかし新パックに財布へダイレクトアタックしてきて勝利が何だかかわからなくなるというのは何度か体感したような気がします。
購入検討中なう。 https://pic.twitter.com/GnXrN6AS6Z
【悲報】俺氏、自分の勤め先をTwitterで検索してなんとも言えない気持ちに。会社名ググるべからず。
【悲報】10分前に｢今夜は徹夜だ｣とか言っていた俺氏、今から寝る！起きてからなんとかなれ世界！
かわたん。 https://pic.twitter.com/TgM5EsSpLG
@Specuator 起業のがいい。アメリカは快適じゃない。
@Specuator いや、だから入社できるだろうけど、アメリカって環境が快適じゃない、と。
【悲報】ポケットに手つっこむ系男子の俺氏、渋谷でオシャレお兄さんに声をかけられ｢スカウト来た｣とか思ったがまた道案内してるなう。
【悲報】同期入社が名探偵コナンの映画を話題にしてて、せっかく話を振ってくれたにも関わらず、俺氏キャッチ失敗。#コナンの映画は一般教養
【悲報】社畜になった俺氏｢世の中結局金なんだな｣
【悲報】社畜な俺氏｢二駅歩けば定期代も浮くし、運動不足解消、ダイエットにもなる！｣とかいうありがちの循環しないモデルなう。
@Specuator 雇われで1000万はなかなか難しいぞ。成果主義じゃないから僕は今のところでは絶対1000万円いかない。きぎ
いつ来てもドンキホーテは何かあるよね。 https://pic.twitter.com/0nuiLX7FBX
俺氏meetsアバクロの鹿野郎。欲しい。 https://pic.twitter.com/qc6MAfJ8za
【悲報】俺氏、同期の卒業論文を次から次へとダメ出し。
@aramakisan 脳が真っ先にやられそうだけどな笑
【悲報】都会の電車内で見渡すと僕以外便所サンダルみたいなもの履いてるやつがいない件。
【吉報】メイン履き物が便所サンダルの俺氏、ファッションとは無縁のように思えたが、原宿に辿り着く。原宿系俺氏。
【吉報】俺氏、献血ダイエットを思いつく。
東京、歩いてるだけでなんかめっちゃ貰えるぞ。新製品の試食とか。今日の今のところのベストはGoogleのステッカー。 https://pic.twitter.com/9v5lM85GKe
@mahuyu_sn0w 新宿駅で配ってた。
CoCo壱番屋、きてる！ https://pic.twitter.com/u6vDZkPSY4
【悲報】俺氏、ダンボールを武装した人に後ろをつけられてる？なう。不思議こえー。
【悲報】俺氏のかばんの中、飲み物だらけ。飲み会の惨事を予想してる模様。 https://pic.twitter.com/Yp1SU0zl0i
【悲報】俺氏、朝五時起きで仕事モード。
【悲報】俺氏、社畜になったの私だ。だんだん出社が遅れていく症候群なう。でも頑張りたい。
@aramakisan だいたいの会社があと40年耐えられず潰れるんだよ。絶対いつかやめることになるんだ。なら、いつ辞めるか、今でしょ！（違ｯ
【吉報】俺氏、超高級腕時計（ドンキで1500円くらい）を購入。これで社会人レベル、大幅アップや。 https://pic.twitter.com/I0YlKlaYnG
@yosshi2chari 飾らない主義なのだよ。いやむしろ飾った結果だよ。
【悲報】俺氏の同期入社、早くも消え始めた模様。
【吉報】俺氏田舎者、東京テレポートとかいう駅を知り、あげぽよ。
@PerfectFreeze お台場あたりの駅。今日は成れの果てさん、友達に都会ツアーしてもろとるだわ。 https://pic.twitter.com/Et6QOHIyOj
@PerfectFreeze むふふふふ。 https://pic.twitter.com/KTaSXuTwiy
俺氏meetsガンダム https://pic.twitter.com/fQUkm2kInY
今日の後悔。誰が見てもオシャレだとわかる、この素晴らしいアイテムを長考の末スルーしてしまった。 https://pic.twitter.com/wPqyZ4aP9F
【悲報】俺氏友達ができない新入社員、飴玉を持っていき、会話のキッカケにしようとかそんな作戦なう。
朝起きた。まだ家から出てすらないけど早く帰りたい。
鼻セレブ美味しい。
@FRONTALICE31337 うん。子供の頃、初めて花の蜜を吸ったときの感動が蘇る。
@namonakihit0 なんか甘いんやで。
【吉報】俺氏のビジネスかばん、、かっけぇーーー。Amazonで3000円でしたーん。 https://pic.twitter.com/Z2iJ2XHBFH
【吉報】俺氏新社会人、出社の楽しみを見つける。なお、行きの移動中に終わり、すぐ絶望を直視する模様。 https://pic.twitter.com/eZFTLxdSVQ
@pika737 こっちはネタツイート作るの必死なんやで。
なぜだか動くプログラムただただはしゃぐ同期入社この先に何が待っているのだろうか俺氏〜新卒社畜SE編〜、乞うご期待！
@aramakisan やーめーてー(((( ；ﾟДﾟ)))ｶﾞｸｶﾞｸﾌﾞﾙﾌﾞﾙ
【悲報】俺氏、入社式のせいでエイプリルフールをやり逃す。
【悲報】俺氏、都会っぽいものになにやら苛立つようになってきた。 https://pic.twitter.com/NYaJHG6ZHF
@ichimaiba いや、マジでそんなん。英語喋れるぞ！とか色々ある僕のアイデンティティ（独自の誇り的な何か）がありふれたところに歩いてるトリリンガルに潰されていく感じだ。
@ichimaiba 就活生100人に聞いたら90　 人は知ってそうな企業。｢その企業に入れた！｣ってドヤも、その社内では全員が持ってる要素。特別になりたい。
@ichimaiba 真のエリートはきっとツイッターしない。
【悲報】俺氏、帰りたいという病。
【悲報】俺氏、東京の引っ越し先、治安良くないらしい。
【吉報】俺氏の昼食、美味そう。 https://pic.twitter.com/a0wdxcPJYI
【速報】俺氏 meets 謎テクノロジー。新幹線でこんな実験的なアイテムええんか？（駅弁だけども） https://pic.twitter.com/JQ5fwwZzsJ
@kasumiryuuou 弁当1080円もして、もしこのシステム付いてなかったら800円とかで収まるならそっちのがイイネ！くらいの嬉しさ。しかしそれをツイート、プライスレス。
【悲報】俺氏、新幹線の楽しみ、富士山を見逃す。
来る度に思うんだが、東京、なにやら萌え萌えしてるもの多くないか？気のせいか？ https://pic.twitter.com/3SddLvj8ll
【悲報】俺氏、早速アパートの最寄り駅を乗り過ごす。引っ越し先の受け渡し、ヤバい。
@bbh0901 社会人として、これから必要になるということだな（ゴクリ）
【悲報】俺氏、このハンガーの使い方がわからん。 https://pic.twitter.com/xhJNrPXYPJ
@sncomet いや、わかってんねん。けどなんか変になるねん。たぶんズボンの折り方がわかってない。
@bbh0901 いや、わかってんねん。けどなんか変になるねん。たぶんズボンの折り方がわかってない。
@roxas0224 いや、わかってんねん。けどなんか変になるねん。たぶんズボンの折り方がわかってない。
@roxas0224 わからんかったのでググり始めた俺氏なう。
@Ya_nirv ありがとう。僕は今まで何を頑張ってて、これから何を頑張るのかわからんけどありがとう。応援よろしくねー。
@Ya_nirv 現在、本名でYouTuber化企画してて、なんかその系で流行り出したやつ見たら｢俺、古参ファンだぜ｣とか思っててくださいな。海外勢か。うれしいな。またクソの成れの果てがダラダラお話するので聞きに来てね。サンクスサンクス。
@xxRenFaxx なんか買ってくるか。
【吉報】安い男に見られたくない俺氏、雑誌の付録で高級風腕時計をゲット。これでモテモテ、一目置かれる存在ってやつやで。
【悲報】俺氏、漢字｢迸る｣を読めず。#ほとばしる
【悲報】俺氏、子供用玩具レビューのYouTube動画をかれこれ２時間ほど見てる件。
【悲報】俺氏、｢弱火でじっくり｣という指示に耐えきれずフルスロットルなう。
@Caerleon_avalon https://pic.twitter.com/JjliD3ye1J
@ahahaha2014 https://pic.twitter.com/8uoSu5EkQH
【悲報】俺氏｢できた。傑作や｣友達｢ええやん｣俺氏｢アイコンにしてええで｣友達｢いらんて｣俺氏｢え・・・｣というわけで｢アイコンにしてええんやで｣ https://pic.twitter.com/2kErPsJ987
@Caerleon_avalon 着色したら、かりおんのアイコンこれになるん？
【速報】俺氏、相席居酒屋の生態系観察に行ってくる。
【悲報】来月から働き始める俺氏｢ブログすら続かない僕に仕事が続けられるだろうか？（反語）｣
【悲報】俺氏「Siri、彼女くれ」Siri、まさかの沈黙。
LOUIS VUITTONとライトニングさん。 https://pic.twitter.com/N9uMs47zVq
【悲報】俺氏、本名でブログを再開したら｢ブログのネタになるか｣で行動するか決めるようになった。
このツイートを見た人は、自分の名前の書き順があってるか急に気になり始めます。漢和辞典を引かずにはいられなくなります。
ペンを充電って、なんかシュール。 https://pic.twitter.com/wQRBpdhkrU
【悲報】俺氏、本気で書いた絵を友達に送ってから返事が来なくなった。
【悲報】俺氏の友人「何がホワイトデーだよ。バレンタインデーの追い打ちじゃねぇか。ココロブルーデーとかに名前変えようぜ」なぜか無くす発想にならない件。
【悲報】俺氏、ヘリコプター飛んでるの見つけただけでなんか嬉しくなる。
【悲報】俺氏お気に入りの喫茶店、好きな女の子とその彼氏が頻繁に来店するようになる。やつめ、僕から全てを奪う気か！
【悲報】俺氏、おつかい時、青ネギとニラを間違え怒られる。
【悲報】俺氏、禁煙パイポにハマる。喫煙者じゃないのに。
【吉報】俺氏、声の出るLINEスタンプを父に自慢され、なにやら未来の訪れを感じる。
【悲報】俺氏、また簿記の勉強をしてるんだけど、この永遠に続く「また縄文時代覚えるのかよ」感がヤバい。なぜヒトはわかってるところでも再度勉強したくなるのだろうか。
@Aria_45ACP 充分充分、簿記は9割くらいそれや（適当）
【速報】俺氏の恩師がYouTuberになってた件。
【吉報】俺氏が帰国途中にハワイで買ったアイテム、謎セクシー。まるで別の商品に見える不思議。 https://pic.twitter.com/tv6dXTotyU
【悲報】俺氏、空港に着いてからまだ３０分経ってないのに道を二回聞かれてる件。
【吉報】俺氏以外に空港でジャージ着てるやついた。
俺氏 with 進撃のミカサマフラー（中国産）。 https://pic.twitter.com/GAQMmwUFbf
俺氏withアメリカのケーキ。 https://pic.twitter.com/m47kSNMd4p
【速報】俺氏、「さよなら、札束で殴り合う王国よ」 https://pic.twitter.com/RSSf6DUEgw
【悲報】良いペンタブ買っても絵が上手くなるわけじゃない。 https://pic.twitter.com/7BgALdIzfc
僕のｉＰａｄが有効活用される日は遠そうだ。 https://pic.twitter.com/4Li9k6gd3Z
【吉報】俺氏、
【吉報】俺氏、アイプチとかいうレジェンド級の武器の存在を知る。なぜ教えてくんなかったのー。
【悲報】俺氏、「ひ」だけで絶望を入力できる。 https://pic.twitter.com/KogL6oPIX2
体重が増えたのではない。重力が増しただけだ。
おやすみ、皆様。 https://pic.twitter.com/d0YGQvj95i
【悲報】俺氏、お土産たくさん買ってきたけども、あげる相手いなくて自分で食べるなう。
@midnightshakuri 最初からこんなんだった。
【悲報】俺氏、なにやらアーティスティックなこと（自称）を始めた午前四時in the USなう。 https://pic.twitter.com/KeXxU6pM1V
僕の夕食があらゆる点で。。。(ノд−。)クスン https://pic.twitter.com/WHard7ujpr
【吉報】俺氏、アメリカのスーパーでかっこいいオモチャを見つける。ドローンなんてもう古い。これからはコレだ！ https://pic.twitter.com/JTTzzS7mnr
米１ドル札のこの秘密結社っぽさ素敵。 https://pic.twitter.com/tkedQFMsIX
【悲報】俺氏、実はアメリカに来て４日とかで２度ドレスコードにひかかって、レストランに入れてなかったりする。常人にはわからんのだよ、イケてるファッションというものが。 #ジャージ
【速報】アメリカの寿司屋のメニュー写メってきたぞ。 https://pic.twitter.com/hFmv6m39ka
【悲報】俺氏、デブ一直線。ロサンゼルスの空港でサンドイッチ買ったら3000円くらいした件。中身は、カニとターキー。ふふふ。 https://pic.twitter.com/JME5gL79fs
【悲報】俺氏、まさかの「お前のVISAねぇから！」 at 空港。こわたんｗ
VS 旅のテンション。空港が僕の財布を狙ってる件。 https://pic.twitter.com/rZT9C0Ayoj
【速報】俺氏、飛行機の乗り換えで韓国なう。一番美味いものをくれと店員に言ったらこれになった。ビビンバ？ https://pic.twitter.com/2hCNlhS6C4
@TorideKanrinin リアクションｗｗｗ
運命、それはドーナツを買うこと也 in Korea。 https://pic.twitter.com/hU9rbtA7Vv
これ持って帰りたいＵ´ㅈ｀Ｕ https://pic.twitter.com/fCg6dqZgtf
【速報】俺氏ｖｓトロール。 https://pic.twitter.com/xCwmQjpzv0
【悲報】俺氏、キリ番を逃す。 https://pic.twitter.com/z65H8XQFim
【悲報】俺氏、艶かしい女性に「生でいいですか」と聞かれてテンパる。「梅酒をソーダ割りで……」。 #あるある #飲む前からなんか酔ってた
【悲報】俺氏、初恋の女の子の名前をググり始める。余裕で見つかる上、有名になっててなんかつらたん。
@papicco1128 いや、たぶん想像してる有名とは違うかも。なんか賞状もらってる写真とか書いた論文とか出てくる感じ。学業的にかなり優秀なんだと思う。対して僕は、、、。
【吉報】俺氏、チキンラーメンＵ´ㅈ｀Ｕｷﾗｷﾗ https://pic.twitter.com/gpv6dXRrWl
【悲報】俺氏「なぜヒトはテンションが上がると下ネタを言ってしまうのか」
【悲報】俺氏、ドラマ科捜研の女を観てるとなぜか「犯人、こうすればええのに」とか「どうやったらこの装置から逃れられるか」とか考えてる。
【吉報】俺氏、働かないアリがコロニーの長期的存続のために重要であるという記事を読み、なんか救われた気がしたなう。
【悲報】俺氏「I love me!」
【悲報】俺氏、コーヒー飲みすぎて寝れず、くだらんツイートを量産。
@chamo135 やろうか。
@chamo135 お相手ありがとうございましたＵ´ㅈ｀Ｕ
@RANMARUWW 研修(？)は東京になりそうです。配属は不明。海外の可能性すらあり。。。配属希望は自宅。
【悲報】俺氏、どうやら今年も自給自足チョコ。 #バレンタインデー
【悲報】俺氏、圧倒的昼夜逆転。「我が辞書に睡眠という文字が欲しい。寝れん」。
【吉報】俺氏、早速テレビで観た裏技をやってみるなう。カップラーメン＋豆乳→残りスープ＋卵＝茶碗蒸しＵ´ㅈ｀Ｕﾌﾌﾌ https://pic.twitter.com/ahVbu0ma9g
@ponmenoko 豆乳温めて熱湯代わりに入れれば完成。テレビでカップヌードルの広報の人が行ってた。非常に美味いＵ´ㅈ｀Ｕノ
【吉報】俺氏「お、スティーブジョブズの映画やっとるやん。観たろ」【悲報】俺氏「なんやこのカップル率は……」#バレンタインデー https://pic.twitter.com/x6bl3QEXMl
@pika737 観てきた。ホントそれ。しかも字幕だよ。カポーに言ってやって。原作イイネ！僕も読んだ。映画は、構成頑張ってたが、娘にフォーカスし過ぎて全体的に内容がペラかった。
【悲報】俺氏、BUMPの新譜、予約してなくて買えず。三店舗目なう。オーイエーアハーン！
@yodatomato DVD付きゲット、ｱｰﾊﾊｰﾝ! https://pic.twitter.com/7QqQOTm1q8
【吉報】俺氏、メンタル復活の儀式を始める。 https://pic.twitter.com/uzw8MHcls5
@ahahaha2014 いえいえこちらこそ、リプライをありがとう。次、時間があったら「本気でポエミー講座〜引かれた回数は数知れず、そんな俺が教えちゃうよ〜」をやるぞ。期待しててててて！
【悲報】俺氏「キュアップ • ラパパ！」
@ahahaha2014 遅れました。中の人、ちょっと忙しいwポエミーは、ブルースのように感情全般や出来事の描写。コメディーは喜びとお花畑系シチュエーションのみ描写。ポエミーというグループの１ジャンルがコメディーだと捉えてます。
@ahahaha2014 完全ギャグみたいな内容だが、定義から頑張って書いてたので、ここでは説明し切れぬ。無理矢理まとめると、「ボキャや言い回しが日常から離れているものをポエム」と表現してて、「それらを学んだヒト」がポエミーになりうる。ここから分類分けに入ってごちゃごちゃ〜〜。
@ahahaha2014 「悲報」って言葉は、カテゴリーが報道とかの分類でマジメなサイドなので、ポエミー系の単語とは言い難いイメージ。ポエミーになれるかどうかが「そういう言い回しを知ってるかどうか」。そこから「他人と差別化したい」とかなんやらかんやらな条件下で、ポエミー発動！！
【吉報】俺氏のEvernoteから「なぜヒトはポエミーになってしまうのか」を分析した謎のオリジナルレポートが出てきた。
【悲報】男もすなるソーシャゲといふものを、俺氏もしてみむとてダウンロードしてみたものの、チュートリアル前の追加ダウンロードを耐えきれず。
【悲報】俺氏、酔ってると思われて介護されてるなう。酔っぱらってるやつを介護してるつもりなんだけどなー。謎の逆転劇なう。
【悲報】俺氏の同僚、カラオケ中にパズドラ。
俺氏御用達のカプセルホテルにて。欲しいＵ´ㅈ｀Ｕノ https://pic.twitter.com/0uDt9oDo5a
【悲報】俺氏、どうしたら日本からバレンタインデーという糠喜びフェス（主観）を無くせるか考えてるなう。とりあえず有効打として今思いついたのは「好きなら彼を太らせるな」って切り口なんだが、プロパガンダ成功してもチョコレートが別のものになるだけと気づいた。（翻訳：チョコくれ！）
【悲報】俺氏、「あさが来た」終わったら「よるが来る」件。おやすみ。
【アンケート】男女の友情ってあるの？
むふふ。入社前飲み会トゥナイwithうんこの力SUPER。 https://pic.twitter.com/NmmRtNqHHn
【速報】俺氏ｖｓチョコソースやきそばばばば(((( ；ﾟДﾟ)))ｧﾊﾞﾊﾞﾊﾞﾊﾞ https://pic.twitter.com/uTENNGm0bS
【悲報】俺氏、「くっ、、、右腕が疼きやがｒ……ぅ、うぁーー！！」とか言いながら、インスタント焼きそばの３分を待てず。
「言わないでって言われたんだけど、実は○○ちゃんってピー（秘密事項）でピー（同上）なの。この話、○○ちゃんには言わないでね」みたいな話されたんだけど、この全てを崩壊させる魔力のような情報、たまらない。いつ放つか←
【悲報】少女漫画を読みながら俺氏、「おまえらの街、どんだけ狭いんだよ。イオンモールじゃねぇんだから、そんな頻度で、しかも重要なときに、ましてや恋敵に出会うとかないだろ」とか言いつつも次の巻に手を伸ばす。
【悲報】俺氏と友達のLINE、さきほどまで真面目な話をしていたんだが、急に「ふんどしトーク」が始まる。「マヤ文明のチカラがどうのこうの」、僕の知ったかぶり語りが炸裂するぜ！
@eneloopy_myu 本名用、源氏名用、愚痴用、閲覧用だよ。ちなみにこのアカウントは源氏名用なんだと思うよ。
これほしい(((( ；ﾟДﾟ))) https://pic.twitter.com/Y0plX7XV1L
【悲報】俺氏の友達「安心してください、吐いてますよ」 #飲み会の成れの果て
【悲報】昨日の俺氏「（本当は16時だけどこいつは、、、）14時集合な」友達「おう、わかった！」→現在16時、友達表れず。
【吉報】俺氏、「ゴールデンボンバー with ポン・デ・ライオン ドーナツたいそう」とかいう激アツ動画を発見。https://www.youtube.com/watch?v=-_MaYRJ2Io…
【速報】俺氏（26）、郵便でお年玉が来た！
【悲報】俺氏、テレビを見ないので、「楽しんご」を「らくしんご」だと思ってた。
【速報】俺氏、珈琲ガチ勢への一歩なう。 https://pic.twitter.com/x9SagPocsg
【速報】俺氏、一平ちゃん（焼きそば）のチョコソース味を探しに行こうか検討中。
【悲報】俺氏、つぶやきたいけど悲報がない。。。
【悲報】俺氏の動画、4Kで撮ってるのにアップロードされると弱体化されていることが判明。元動画は既に消してしまった模様。。。無念。。。
@WRXGAC iPhoneからYouTubeにアプリ経由で上げてしまってるので、720pが限界の模様。iMovieとかなんらかの工夫をして上げるべきだったそうな。
@WRXGAC YouTubeアプリの設定の限界がこんなんでした(´･ω･｀)しょぼーん https://pic.twitter.com/iz7LkzXxaE
【吉報】俺氏、最高の夜の準備完了。 https://pic.twitter.com/QyhQsaG0qE
【悲報】俺氏、「顔が濡れてチカラが出ない」くらいのノリで「理屈っぽくて彼女ができない」。
【悲報】俺氏のアンケート結果「ツイッター４アカ以上、珍しくない。むしろ多っ！？」 https://pic.twitter.com/zJnXJ5C8EA
Q.あなたはツイッターのアカウントをいくつ持っていますか？
【悲報】俺氏、友達に「アドバイスくれ」と漠然と頼まれたので「『僕、謙虚です（どや）』って矛盾やめろ」と送ったのはいつのことだったたろうか。その後、便りなし。 #気付かなければ幸せだったろう
【速報】俺氏「YouTuberに俺はなる！（どーん！！）」のか？ https://pic.twitter.com/B8O1HWSJCM
【速報】俺氏、未知との遭遇。 https://pic.twitter.com/GI7wKHoJg4
@kamu_hani 僕はイカ天をとりあえず買ってみたぞ。今から食べるＵ´ㅈ｀Ｕﾉ
【悲報】俺氏、引力に勝てずイカ天ぷっちょなう。あじゆい。 https://pic.twitter.com/HDIRpeqN8N
@kamu_hani イカ天ぷっちょはオーケー。イカっぽさは2%くらい、ほとんど感じないので、基本的にレモン味でしたＵ´ㅈ｀Ｕﾉ
【速報】俺氏( -・ω・- ) https://pic.twitter.com/BvpbGTkyUZ
新手のトトロなうＵ´ㅈ｀Ｕ https://pic.twitter.com/VWQnYj5cv6
【吉報】俺氏、耳鼻科に行ってから空気が美味しすぎワロタｗｗｗ
【速報】俺氏、グラブる。
【吉報】俺氏、ラスカルなめこを手に入れる。んふんふＵ´ㅈ｀Ｕ https://pic.twitter.com/noOX2NGJwF
@yosshi2chari お誕生日おめでとうございますＵ´ㅈ｀Ｕﾉ
【悲報】俺氏、テレビのやらせっぽい要素を理屈的に話し過ぎてダイニングから家族が出て行く。
@RANMARUWW これはアレだ、痛いのは虫歯なのに、子供は治してくれる歯医者さんを嫌いになってしまう法則だ。
