text
@tofu_niconico 何を言っているのかわからないままふぁぼってるところがあるので…
@SyuhCream 頑張っているんですね、ちなみにさっきのコミュ障のネタは｢それはお前だろ」的なボケのつもりだったのに、真摯に受け止めていらっしゃり非常に申し訳なく思います。またフットサルやりましょう。次こそは正々堂々と28対1で
@SyuhCream ちんぽ侍～！お久しぶりです、あの病気と呼んでも差し支えないほどのコミュ障、少しは良くなりましたか？w
@enpitsu98 わかりました、僕がbossなので得た金の一切を僕に渡すようにして下さい。
@enpitsu98 一瞬バグかと思いました…gtaを購入しろ
@MaLiyme 許可してないしぶちギレました。絶対やらん！
@2b_be_bee ｳﾜｧｰ！結果的に｢パクリツイ」をする形になってしまった
@MaLiyme デブだから出来ません
@_ku_ne_YOHANE 俺二年連続でお前に超会議行くかどうか聞いててワロタwwwwwwwww
@roarskou それじゃあ本末転倒じゃないですか…
@retasu410 ご覧下さい https://pic.twitter.com/Tuz6sJ5JCW
@a_yan_sama DVDが付いてきます。my voiceのMVとツアーのオフショットが収録されています。
【よくわからないアルバムCD】title.voice1.my voice2.voice3.voice to love4.voice is (voice ver.)5.your voice feat. voice man6.my voice (live ver.)
@EJ20NGO まぁ今度乗せろやw（お前はトランク）
@yosayosayossan 二階にトイレある奴に勝てるわけないだろ…
@mik_33 ｢え…え…やばいこの人おかしい怖い」と聞こえるように小声で囁く
@higenecoba そんな欠陥住宅に住んでいるのなら精神的にも追い込まれているでしょうから全てのリプライに｢ごめんなさいごめんなさい」と送ってしまいます。
@rsr_____ 嘘乙wはい論破w
@EJ20NGO 今何乗ってるんですか、こちら父親にプリウス奪われプロボックス
@fulkawa_2525 二階にトイレもないくせに偉そうに…
@khkakao1 完全にイカれてる…（ありがとうございます！）
ツイッターに蔓延る喧嘩っぱやい連中、いわゆる｢論破」したがる層は、論題やこれまでの文脈に関係なく｢二階にトイレもないくせに偉そうに…」の一言で簡単に沈む。変な言いがかりをつけられたら試してみて欲しい。
@ozu_wild せっかくですが…使いどころも、意味すら、わかりません…
@seedmanqed ぶちギレました。鉛弾の洗礼をお見舞いしたい。
@43cy_s これやりますよね～！僕は直後に放火しました
@kapizusa ｱｯ、クルー作ったので入って下さいw
@Koukokuso ゲームボーイ（初期）でテトリスをやってろハゲ！！
@renren5557 お姉さんとの待ち合わせに僅かに遅れてしまい｢12秒遅刻、死刑」と言われ一日中荷物持ちをさせられたいです。
@lmsato_ 僕のだらしない体で良ければPS4と交換ということでよろしくお願いします！
@mieson_722 出来ません
@mokyu_t 約3万円です
ヤフオクでPS4が出ており｢在庫がない場合は私の顔写真で代用させて頂きます。予めご了承下さい」という良くわからない注意書きを無視して落札したら、おじさんが居間で自身を撮ったであろう写真が郵送されてきました。少しはにかんでいたし蛍光ペンで｢ありがとうございます！」と書いてありました
@desunyawa8 めちゃくちゃ可愛い！！？？！！！！！！！？！？！！落人ですらタッチひとつでここまでcuteになるんですね、ありがとうございます！！
@kurichannu 驚くこと勿れ。この話が出た頃はリアルタイムでやっていました。
@nekoguma55 すみません、言った手前僕はまだ無理です
@Shiiiiiitake6x6 このメンツでは部屋で暴れまくって破壊音も一緒に録るくらいしないと目立たない。
@nekoguma55 うるさい！早くpsnにログインしろ
@sonocutter しい兄さんの独特のセンスの賜物です。
@renren5557 おいやめろ。おい、やめろ。
お恥ずかしながら参加させて頂いております。女の子四名で頑張りました。カオスな4人がふ・れ・ん・ど・し・た・い歌うとこうなる 詩みゅクプふ (1:37) #sm28881536 http://sp.nicovideo.jp/watch/sm28881536
@Shiiiiiitake6x6 うわ本当だー！！！！！！！！！！！wwwwwwwwwwwwwエンブレム作るはwwwwwww
@ririannnnn オッ、やっぱり見てますね～。ご名答です。奇行とは裏腹に思わず抱き締めたくなる小動物的な愛くるしさを出したかったのでこのメイクをしています。
@nekoguma55 ﾔｯﾀｰ！僕もです、後からidをdmで送ります。
@nekoguma55 おう西郷、ps3？
@Ecru_Axtxkxxx ありがとうございます。苦労してスマホを固定して撮影した甲斐がありました。
@kapizusa エェー！？高ランカーのカピズサさんが僕のクルーに加入を！！？
@pendulum_927 当たり前だろ…（壁ドン）
@kapizusa 作りましたが、エンブレムが不具合で表示されず断念しました。
@Maikan_s dsを売れps3を買え
@0530meromeron オープンワールドで色々できる自由度の高いゲームですが、簡単に言うと金！女！暴力！です。
@momenchan22 残念です…がそれがいいんですよ。電柱を薙ぎ倒す快感は他に比類しません。
@rkdmni 私の地元では｢神威」と呼ばれ、闘神を身に宿すとされるまじないです。
@mokyu_t ははーん、これあれでしょ、イオンとかに入ってる食べ終わったら店員が次のお重を持ってきてくれるタイプの食べ放題。
@_ku_ne_YOHANE いついかなるときもご乱心だな
警察官の粋な心配りが涙を誘う、子供に見せたいワンシーン。 https://pic.twitter.com/IVpzWrNKXp
@bbkkrkm2 oh…the・残念…
@bbkkrkm2 え！？ありがとうございます、ソースはどこですか！
@sugar_sugar714 デブ
@dice31569 それはどう考えてもお前の父親が悪い
@camihicooooki ジェスチャーですよ。体の前で腕をクロスさせる感じです。
@H1se2 I’m playing soccerｗｗｗｗｗｗｗ○、　　＼、　　○  　　ヾ　＼）ヽ 　ｳﾋｮｧｱｱｱｱｱｱ!!!! ＿|￣|　 くGOOOOAAAAAAAL！！！！！everyone「YEAAAHHHHH！！！ｗｗｗｗｗ」
五月病になってしまった人は、そこら辺を歩いている人に英語（それっぽく聞こえる感じで大丈夫）で話しかけてみましょう。腕で×印を作って｢ノー、ノー」とか言いながら逃げるように去っていくのを見ると、結構全てがどうでも良くなります。
@seppuku19 バカなの？（ジト目）
@Tkt_Ktk 5だけどps3のほんの初期のやつ。こちらレベ46w
@Tkt_Ktk 僕が絶対行けないです！！wwwwwwwgtaしましょう
@Tkt_Ktk 遠いなぁ…貴様は東京なのですか
@koucha_gyuunyuu 私、毛濃いですけど…
@Tkt_Ktk こういうの本当にあるんですね！？行きたいです！
@96xxlov 本当に微力ですが…会社と個人的にもほんの少しですが募金しました。（この顔で）気を付けてください
@ryotarosmile816 貴様は汚いって言うかみすぼらしい感じする
若い頃は細身で体毛が薄い系男子として多くの女子高生から支持を受けていましたが、今は一日も経たないうちにヒゲが生えてきて、何故か体重は変わらないのに腹だけが出る幼児体型のおじさんになったので汚い男のファンしかいなくなってしまいました…
@tyamisaan ほ、惚れ申した…
@v_g_mochi これでしたか…！20人超でコトをするべく根城へと向かっていた途中、古風な女性とすれ違った瞬間に同志10人が忽然と姿を消してしまったのです。我々は｢神隠しにあった」と体を震わせ命からがら逃げ帰ってきました。
@kaito_nico まぁ…人間で言うと男ですね…皮膚が固く角と牙がありました
@sekaiju3478 せかいじゅのしずく
@akira708090 みんなが楽しそうにしてるのを見てメンタルがやられたから長文は考えられないんだ。
@sino_pyonsu ああ、そうだよ。だが、見てくれ（右腕の袖を捲ると呪印のようなアザが徐々に半身を蝕んでいく）これが、代償さ
@Tkt_Ktk ダメダメ！子供は怪我するから（物理）
オフパコなう(^_^)/
@mofmofunyannko ダメでした。僕の分までソイヤして来て下さい。
@nachizail トンクス！w
@nachizail ええ～マジかよ～二年前を思い出すな（暗黒微笑）
@nachizail 超会議行きま
@shiori_seven161 ありがとうございます。励みになります。
@43cy_s 仕事です（むしろいつもより出勤が早い）
@SiNxxx526 ！！大事な時にクソのようなリプライを送ってしまいすみませんでした。本当におめでとうございます！おめでとう！！
@SiNxxx526 相変わらず痛いところ突いてくるね～w（ぺろっと舌を出す）
@re_coda 全然知らないので詳しい人に突っ込まれると血を吐き倒れます
@SiNxxx526 芸能人である僕がRTするまでもなかったようですね
@takeda06999670 またそうやってタイムリーなやつの矛先を僕の家に変えて～！
@maichamaa もう、あなたしかいない
童島貞治　享年九十二　生涯、童貞＿。七十歳の時に肺癌からの転移が見つかり余命一年と診断された後も彼の信条である｢知らぬ美学」を貫き、二十年を経た今年、大往生を遂げた。病にも女にも、結果を知ろうとせず考えを巡らせるその時、人は最も美しい、この考え方は疫学的にも大きな注目を集めている
@Tkt_Ktk 羽はホント凄いよこれ、プリキュアの方に羽あったっけ、と思っちゃいました
@_ku_ne_YOHANE 関係無さすぎ！w奇跡的に行けたら殴り合いをしようと思っていましたが…
@ririannnnn ムキ～！確かに自分の携帯は登録4件だけど仕事の携帯は100件以上登録してあるも～ん！
@_ku_ne_YOHANE 超会議行く？
@Tkt_Ktk 羽どうなってんのこれ
@Y_YURI_EX_3JSB 僕の仇を討って下さい
オレオレ詐欺を警戒し過ぎるあまり、掛かってくる電話その全てに｢うるせぇババア！」と怒鳴りながら出て、叩きつけるように切っていたら家族、仕事、全てを失いました。悪質な詐欺は私のような二次的被害者をも産み出します。全ての詐欺が根絶されるその日まで、私の悲しみは消えることはありません。
@fulkawa_2525 わざわざURLを考えてくれたなんて、それだけで涙が
@miidarakusomusi あー！ダメダメ！僕そういう話はてんで疎いから！
@mik_33 出張で半年に一度行きますが、イベント関係では皆無です…
@akirakizu 出た出た！邪念のかたまり！淫獣、インキュバス！
@ayakorin_36 貨物船で行くのはハイリスクですから、次からは出国の段階で教えて下さい
@05________s あ、この間の件ですけど｢バズーカ竹田」でよろしく
@Aiko11263104 おめでとうございます。選挙は行けよ
@kiyo__y 司会｢あ…あ…」
今年もやります！焦熱交流パーティ、聖者の交信イン渋谷！昨年はURLを貼り忘れる痛恨のミスをしでかし参加者0という惨事に見舞われたため２年分楽しむべく開催を致します！真剣な出会いを求める清き男女のコミュニケーションの場として是非ご活用下さい！詳細、お申し込みは下記URLからどうぞ！
@warotakun1sai 良くお似合いです！しかし頭皮が悲鳴を上げていそうです
@__takagi___ ああいうのはもう駄目だ。誰一人として目が笑っていなかった
@__takagi___ なぜかフォゥロバをしていなかった
@warotakun1sai 首長！イメチェンしましたね！
@xx_yousay_xx すみません…あまりそこら辺の事情に詳しくないので憶測で物を言ってしまいました…
@_rM69 ほぼ俺のせいだけど無条件で水に流して欲しい
@U_H9926 いや～、世の中狭い狭いって言ったってそんな偶然そうはないですよ
@Swarosu 7時間前のツイートで現実味が増すね
@syao_45 色々あるでしょ！｢お前ごときが教えを説くなウジ！」とか
@syao_45 新人教育（この私が）
@A_ChE_ お、元気かクソジジイ
ハミングの途中で人生に疲れてしまう合唱団の人｢ンン～ン～ン～ンン～ ああああああああああああああ！！！！！！！！！！！！！！（ﾌﾞﾘｨ！！ﾌﾞｯﾌﾞﾎﾞﾌﾞﾘﾘｨ！！ﾌﾞﾘﾋﾞﾁｨ！ﾋﾞﾁﾋﾞﾁﾌﾞｯﾎﾞﾌﾞﾘﾌﾞﾘｨ！ﾌﾞﾘｨ！！ﾌﾞｯﾌﾞﾎﾞﾌﾞﾘﾘｨ！！ﾌﾞﾘﾋﾞﾁｨ！）」
@Yuka_Ona_umnhn ラリと和民行こうな
@Yuka_Ona_umnhn え！本当なんですか！僕はそうです
@Yuka_Ona_umnhn リプライを送って来ないでください
@Yuka_Ona_umnhn 上京した？
@Yuka_Ona_umnhn おめw
@ROZOR_ ROSさん…
@shiro_neko0427 そりゃあ12時間もブンブンしてたら表情筋も弛むってもんよ！
@U_H9926 うわ～！最悪じゃないですか！そこまでしなくてもクラス順によっては卒業式で地獄を見ることになりますよ…
@koucha_gyuunyuu うおっ！！？お久しぶりです！私の中で死亡説が
@kanikaniranchi その代わり三人は訴訟起こしてきた
@MEMP_IS あなたは無職おじさん
新入社員が入って一週間ほど経ちましたが、その間、出勤から退勤までデスクに両手をついて、首を上下に振りながら｢ようこそようこそようこそようこそ」と歓迎の意を表し続けていたら今日までに20人中17人が辞めていきました。
@glay__chu 無印21話のあの感じ
@ydkfjk 一期見ました。漫画は｢自分、通っていいすか」｢ああ、駄目だ」のところまで見ました。
@0626yume @GoatTakumi501 ハハッ（荒ぶる鷹のポーズ）
@4rone4 the FavottE
@4rone4 「赤い糸」など見えないくせに信じてたのは戻れないから抱きしめて 嘘を知っていたのに溺れる心隠せない唇に沈むあなたの熱に満たされてゆく 戻れない 今更
@_ku_ne_TSF バカかお前、いくら良いっつったって流石にちんこは…出すわこれは出す。出さざるを得ない。
@AQgpsBOA8w34iLD ワロタ……たまにあるんですよ…こういう具現化されてること…
@328Ponzu い、一応見てますよ！bioとか！（焦）
@v__w_x 勝手に話を進めるな！！（それで行こう）
@ydkfjk おっぱいが好きなあなたが好きです誰だよてめぇいきなり現れて好き勝手言ってんじゃねぇぞ
@chitokutora13 椎茸、松茸、しめじです
@yuka0045 残念だったな。フォロワー一覧の一番上を見ろ
春の無差別フォローパン祭り、始めていきたいと思います
@repowin_best しーっ！！それ以上言ったらアブノーマルで熟女好き放火おじさんの沽券に関わる
@4flick そんなあなたに、留まることを知らない高度成長、中国経済！
@funi_aku 覚えてます！でも名前的に凄いゴツい人が現れそうなのでお断りです！
@marionoko そんなもんお前、ほぼ直角に最敬礼するは
@Tkt_Ktk 久遠寺右京（16）
@96xxlov 最高の誉め言葉だぜ！（サムズアップ）
熟女好きの私からしたら30代、40代なんてほんの｢少女」にしか過ぎず、最低でも50代、欲を言えば60代後半の｢お姉さん」を連れてきてくれないと困ります。皮肉なことに私、まぁその若い女性にモテるんですけど、好意を寄せられたら決まってこう言います。｢お母さんを紹介して下さい」ってね。
@kusomanjuu_2525 あいつらはもう死んだ
@kusomanjuu_2525 間を取ってtokyoでええやろw
@picachi_ ＿＿＿＿＿夏。
@kusomanjuu_2525 そろそろ酒飲みに行こうな
@kusomanjuu_2525 ケッ！貴様こそ北海道新幹線の稼動と時同じくして浮上しやがって～！デブ～！！！
@kusomanjuu_2525 オウ！？お前こそ生きとったんかワレェ！
@_tSotS_Lin_ 大人になってもあそこだけ最後のジグソーがゲットできない
サビサビみなとのエンジンルームで足を滑らせ落下していくバンジョーとカズーイ｢ヤッポウwウワアアアアアアアアアーーーーーーーーッッッ！？！！？！？！？！？！？！？！？！？！？！」＼ﾃﾝﾃﾃﾝﾃﾃﾝﾃﾃﾝﾃﾃｰﾝ／
@mik_33 おぉ…おめでとうございます。そんなとんでもないです！僕はただ｢キッカケ」を与えたに過ぎません！
@ririannnnn それはただただ謝る他ありませんが…USENでそんなチャンネルを聴いてるだなんて、あなたの職場、ネオン管で｢OPEN」って書いた看板があってアメカジの服とかが飾ってあるカッフェでしょ！
@dice31569 お、おい…そう言う投げっぱなしジャーマン的なやり方は聞いてないですよ…（滝汗）
@dice31569 ふぁぼってくれた人に直接｢こっちもふぁぼれやアホ！半魚人！！」とリプライすれば誰も悲しまないし皆が幸せになれると思う。
@_ku_ne_TSF 俺、最近透明な女の子聴いてるけど
@tyab_K うるさ～い！！！かっこいいガスマスク着けやがって！！俺を見ろ！毛すらない！！
@yosayosayossan いきなり肌のキメの話するのやめてください！
@lmsato_ も、萌え～～～～～～ッッッ！！！！！！！！！！！！
@_ku_ne_TSF お前はな、FF内脱糞サイコおじさんだよ
@kurichannu わかってますね…うざい～！！
俺はFF外おじさん。RTで回ってきた知らない人に失礼なリプライを飛ばすのが俺の業さ。｢それおかしくないですか？」｢何言ってるの^^;」箇所を指定しないアブストラクトな批判で相手の不快度を煽り気概を損ねるpioneer。どれだけ良いツイートにも必ず粗がある！俺はそこを、見逃さない！
@v__w_x @HlTUJl え～！！なんなんですか！駅ちかだから本気で行きますよ！（馬にて）
@AliceXMelonchip やったことないんですよね…ff7のクラウドに良く似たキャラですね、名前も同じだし
@HlTUJl いや、お前おっさんじゃん
@dice31569 なるほど、はなから自分のことだと高をくくっていました。
@titigayu99 やめてくださいよ！そんな僕に虚言癖があるような言い方！
居酒屋にいたら隣に今風の女性二人組がやって来ました。暇だったので彼女達が注文、及び料理を口へ運ぶ度、｢ありがとう…」と涙を流しながら会釈すると後日食べログに｢イカれた男がいました」というレビューが追加されていました。
@Suppre33 俺じゃん！w
@_REINIE_ 色合いと言い、光のあたり具合と言い原画を忠実に再現出来ています。良く研究なされましたね。
"@sz__x7 オ""オ""オ""オ""オ""ン""ン""ン""ン""ン""！！！！！！！！"
@MashRoom0302 やったぜ！ポロサツへの片道航空券取った
@sz__x7 何でですか…五万円払うので僕に言って下さい…
@buritukuri 何で好きなの知ってるんですか？
"@eugene_eugene_e 何でも""柔""と結びつけるのは良くない"
@kurichannu ｢え？は？」って返してぇ
あんたさぁ、ちょっと鈍感すぎない？あのバカ面の友達と何もない所で転ぶ子が好きーとか話してたから私毎日転びました。あんたの目の前で。そう言う涙ちょちょぎれの健気な姿に気づかなかった？何もないのに転ぶわけないでしょバカ。あーもうらちが明かないから言うけど好き！どうしようもないくらい！
ちょっとわかりづらいと思いますが、夕方に河原の斜面で寝そべっていると目の前に女の子が現れ、腰に両手首を当て、険しい表情で顔をこちらに近づけてきたときに個人的に言われたい台詞を紹介します。
@sugar_sugar714 トマトが！？三三三🍗 三三三🍗 三三三🍗とまっとる！！！！ｗｗｗ          🍗           🍗            🍗( ͡° ͜ʖ ͡° )それは枝豆だ  人人人人人＞フライパン＜  ＹＹＹＹ
@Swarosu 切ったし茶髪だし（オシャレ）
@Swarosu ほえ～
@namko26 ンアーーッ！！！！！！（膝から崩れる）
@Zakuzakuzakuron おめでとうございます！（ドコドコドンドンドコドンドコドコドコドン！！！）
@kgmonigiri Do it！（ﾊﾟｰﾝ）
内科外来を訪れる学生の多くは、合法的に休学出来るインフルエンザへの感染を期待しています。ですから病院の前に立ち、診察を終えた若者に｢感染～？」と問うと感染者は高らかに｢Do it！」と応え私と手のひらを打ち合わせます。逆に非感染者は｢黙ってろカス！」と暴言を吐き捨て去っていきます
@COOKxDO AJINOMOTOの主力商品にその身を窶したかと思えばやっぱりやることはやってるんだな。いつか組んで何かしたい。
@mik_33 スノボじゃないの！？え！？スケボー！？長野とかって書いてるし信州的な意味だったら多分スノボの間違えですよね！？（どっちもやりません）
@pqdbaaq 正装の下に厭らしく透けたランジェリーをまとわせる気ですね。この好き者！
@Tkt_Ktk え～！勘弁してよもう～！？
@43cy_s 時間がnai
@oskn1340 お肉ですね
@COOKxDO クックドゥ
ここ目黒の交差点に日本初、ジャンプ台が設けられました。時速180キロで進入し空中に弧を描く立体交差により信号待ちの渋滞を緩和させるのが狙いです。利用者は…足回りが全部オシャカだ！殺してやる！救急車を呼んで下さい交通の円滑化に繋がると良いですね。以上現場からでした。
@maressyii 大体こんなスキンが出来てしまう辺り任天堂の悪意を感じますね
@kobayashi_www 名古屋だったら間違いなく行ってた
@ririannnnn ちわわ
@sz__x7 おめでとうございます！LINE教えて下さい！
@maressyii 懐かしいですね。僕はもはや3dsがどこにあるのかすらわかりません
@EJ20NGO 急だけど一人増えるはw
ペニス
@pink_florid うわぁ…
@nekoguma55 そんな風に本気で取られたら逆に困ります！！！！僕はツイッターでは100%ふざけているので｢うるせぇ氏ね」とでも言ってくれればそれでいいんだから！！
@ryo_n87039 そうとは知らず、大変なご無礼を致しました。誠に申し訳ありませんでした…社員一同深くお詫び申し上げます。以後はその点を留意、徹底し、二度と同じ過ちを繰り返さぬよう努めて参りますので何卒ご容赦の程、宜しくお願い申し上げます。知るか！！！！！豚よ！！！！！！！！
@nekoguma55 おいおい、恥を忍んで言ったんだ。その辺りは｢察する」ってのが筋ってもんだ
@endamannaatm マジすか…嬉しいです。覚えてたらということで…
@nekoguma55 20代半ば以上でないとダメなtypeなのでそういったことは
@ranka79216 わかりますよ。皮膚が青色でも裸であれば多少は欲情しますよね。
@popopoppr 後々訴訟問題とかになるんでしょ！あたしゃごめんだよ！そういうんは！
@uriarosso ども…w
@oretomo_kk2 そういう計算高いのがダメ！汚い！
@popopoppr そろそろ身を固めないとな
@3NLIN 誰しも5回は通る道
@niconiconanasi 気づいたら一週間経ってたんだけど妖怪のせいかな？
色を一つ思い浮かべて下さい。良いですか。黄色を思い浮かべたあなたは聡明です。人に優しく自分に厳しい清い心を持ち、努力家であり信念があります。仲間も多く慕われており、困ったときには必ず誰かが手を差しのべてくれる、そんな素敵な人です。それ以外の色を思い浮かべた方はバカです。
@saikohni_high そうでした…モテようと思って見栄を張ってしまいました…
囁き声もあげられない静寂で、かつ緊迫した状況では絶対にあり得ない妄想をしてしまいます。例えば会議で今まさにプレゼンをしている部長が｢岩瀬崇48歳、脱糞します。私の恥ずかしい姿を見て下さい」とか言って便をひねり出し始めたら、と考えると堪えきれず俯いてしまうことが良くあり困っています
@qr_53 遡り1000かエタフォな（アルファっぽい条件）
@saikohni_high こいつはいつも本当に秀逸なリプをくれるんです
@_i8i ニートっぽい
@amberstar0919 学歴関係ないところもごまんとあるからさっ
@_i8i 犬山モンキーパーク＿人人人人人人人人＿＞　                         　＜＞　＿人人人人＿  　＜＞　＞　 🎅　＜　＜＞　￣Y^Y^Y￣        　＜￣Y^Y^Y^Y^Y^Y^Y￣
@amberstar0919 ドンマイドンマイw
@rkdmni ジャーマンスコッチバーガーです…大賞は無理でも優秀賞辺りなら滑り込みで狙えるレベルだと踏んでいただけに何の音沙汰もなくショックを受けました。
@_ku_ne_TSF 泣きっ面に蜂だ
マックの名前募集バーガーの名前が決定したようです。結論から言うと、ダメでした…でかい口を叩いてしまい大変申し訳ありませんでした。https://twitter.com/funiimouto/staus/697779747053395968…
@_KRA1_ マジかよ！？！？！？！？！？取り急ぎ全力謝罪しなきゃ…
@oskn1340 あの時の、おさかな…！
@ryo_n87039 自分だって許しを乞う無抵抗な人々の心の臓に冷たい鉛玉をぶちこんだくせに～！！
@cas_ponter あなたの性別次第では神展開になり得る
@bbkkrkm 居間を行き来してた
@desunyawa8 便処でfuckなんてごめんですよ…
駅の男子トイレで手を洗っていると、おばさんが入ってきたため｢あの…ここ男子トイレですけど…」と注意すると｢は！？あたしゃ女だよ！余計なお世話さ！」と怒りながら小便器の方へ向かって行ったのでちょっと何が起きてるのか思考が追い付かず、いつもより多く手を拭く紙を取ってしまいました。
@mi_mimi_o 男のフィギュアなんか買うわけないだろ！豚よ！！！！！！！！！
@ryo_n87039 まぁ20個程度なのでそれほど多くはないのですがw
@sugar_sugar714 家族からもらった分をひけらかす童貞
@BuMaki 全然売ってないやつだ…
@harukiku0211 やったぜ！！！！！！待ち受けにする
ちんぽーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーッッッッッッッッッ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
@Mr_ZBSU_ 俺　が　ア　ル　フ　ァ　だ
@ririannnnn そりゃ！ウルトラマンだってたまにはハメを外したいですよ！（小躍りにより街の一部区画が壊滅）
@pqdbaaq 実際には一個も貰えないので調子に乗ってるって思われるかも知れないけど苦手なので貰ってもあまり嬉しくありません
@rkdmni トーマス
@ATB5k うっかりしてました
明日は特別スペシャルデイ一斉蜂起のチャンスOH ダーリン(デュワ デュワ)OH ダーリン I LOVE YOU！(デュワ デュワ)誰もが浮かれて御謀叛彼氏の急所を射止めてOH BABY(デュワ デュワ)OH BABY LOVE ME DO！
@Maikan_g あなたの影響で先月２回行きました
"@0530meromeron 美食家ですが、思わず唸りましたね…文字通り｢う""ぅ」とね…"
@mik_33 はぁー！もうー！わかってない！わかってないよ！本当そういうんじゃないんだって！！本気なの！わかる！？本気！マジ！そういうのいらないからもうー！いやー！
@kurea19900911 パクられたら困るので教えられません
マックの名前募集バーガーに応募しました。正直かなり自信があります。30年程前ブレーメンのダイナーで感じたライ麦の芳ばしい風味、そして素材の雰囲気を活かし見たら必ず食べたくなるようなガツンとインパクトのある名前にしました。皆さん残念でしたね。バーガー10年分を手に入れるのは、私です
@sugar_sugar714 ラーメン二郎行こうぜ
@sugar_sugar714 ⁽⁽(ી₍₍(ી( ˆεˆ )ʃ₎⁾⁾ʃ)₎海苔を食ってノリノリwwwwwwwwwｽｯ(・_・) 僕は大人になってしまったもう海苔を食べてノリノリになることはないいつからこんなつまらない人生になってしまったのだろうか
@Swarosu ありがとうございます。LINEをやっていないのでどうすることもできません
@_mo_ya_si_ 25
@Swarosu ありがとうございます。LINEをやっていないのでどうすることもできません
@asuozinori_ あ～いつはあいつは可愛い、年下のポセイドン
@Swarosu ID教えてください
@yuuuuuuu_____07 ゴリラアイコンの分際で神道を心得るな！！！
@ryotarosmile816 成す術、なし
@_kaito0310 他人事だと思って…いざ自分が漏らしてみると頭が真っ白になるんだぞ
お恥ずかしながらこの歳で大の方を漏らしてしまいまして、大声でわんわんと泣きじゃくっていると｢大丈夫ですか！」と計4名の方が手を差し伸べて下さいましたが、異変に気づくと各々が｢うわぁあああ！！！」と悲鳴をあげて走り去っていってしまったのです…。
