研究者,ケンキュウシャ
数年,スウネン
イベントだらけ,イベントダラケ
専門家向け,センモンカムケ
匿名加工,トクメイカコウ
バグ取り,バグトリ
来月末,ライゲツマツ
チュートリアル文書,チュートリアルブンショ
振興財団,シンコウザイダン
sinc関数,シンクカンスウ
配布資料,ハイフシリョウ
乱雑さ,ランザツサ
理論物理,リロンブツリ
制作者,セイサクシャ
来週火曜,ライシュウカヨウ
24時間受け付け,ニジュウヨジカンウケツケ
結局今,ケッキョクイマ
イタリア出張,イタリアシュッチョウ
さんよう,サンヨウ
量子計算,リョウシケイサン
誰も知らないの,ダレモシラナイノ
江さん,コウサン
出産直後,シュッサンチョクゴ
最近一,サイキンイチ
２日,ニニチ
アクセス可能,アクセスカノウ
日々正確,ヒビセイカク
