国際会議,コクサイカイギ
bidon,ビヂオン
Networksfor,ネットワークスフォー
問題毎,モンダイゴト
エゴグラム分析,エゴグラムブンセキ
羽つきハーネス,ハツキハーネス
先生方,センセイカタ
修士１,シュウシイチ
youbid,ユウビヂ
高そう,ダカソウ
今うち,イマウチ
仕事復帰,シゴトフッキ
昨日部下,キノウブカ
クマさん,クマサン
youwanted,ユウウォンテッド
幼児向け,ヨウジムケ
naturalimage,ナチュラルイマージュ
人以上,ニンイジョウ
期娘,キムスメ
AI的,アイテキ
眼科待合室,ガンカマチアイシツ
人工知能学会大会,ジンコウチノウガッカイタイカイ
体験者,タイケンシャ
学問分野,ガクモンブンヤ
themain,ザメイン
火二つ,ヒフタツ
入学後,ニュウガクゴ
娘ちゃん,ムスメチャン
授業準備,ジュギョウジュンビ
西安空港,シーアンクウコウ
isover,イズオーバー
基本予想,キホンヨソウ
一つ理解,ヒトツリカイ
猫グッズ,ネコグッズ
ピカチュウ作りました,ピカチュウツクリマシタ
週間目薬,シュウカンメグスリ
演出力,エンシュツリョク
あと体,アトタイ
コードC++,コードシープラスプラス
サーベイ論文,サーベイロンブン
本ノック,ホンノック
