研究者,ケンキュウシャ
テキストデータ,テキストデータ
難聴気味,ナンチョウギミ
史上初,シジョウハツ
方実験,ホウジッケン
選挙民,センキョミン
読書程度,ドクショテイド
付教員,ヅケキョウイン
PC時代,ピーシージダイ
ソーシャルメディアダイナミクス,ソーシャルメディアダイナミクス
大西洋マッコウクジラ,タイセイヨウマッコウクジラ
か月経過,カゲツケイカ
発作的,ホッサテキ
デレステ運営,デレステウンエイ
ブラフ引用,ブラフインヨウ
