研究者,ケンキュウシャ
企業人,キギョウジン
１５,イチゴ
HPCcommunity,エイチピーシーコミュニティ
メモリバンド,メモリバンド
人口減少,ジンコウゲンショウ
International,インテルナショナル
実践的,ジッセンテキ
forSC,フォーエスシィ
asthe,アズザ
itwas,アイティーワイドエリアサーチ
ファーンバック,ファーンバック
NewsZero,ニュースゼロ
theroad,ザロード
冨山和彦氏,トヤマカズヒコシ
ITmediaニュース,アイティーメディアニュース
andHPC,アンドエイチピーシー
着手予想,チャクシュヨソウ
スケールアウト,スケールアウト
東工大生,トウコウダイセイ
短期的,タンキテキ
先生方,センセイカタ
inthe world,インザワールド
IEEECluster,アイトリプルイークラスター
witha,ウィズアール
TrinityNYC,トリニティエヌワイシー
総合的,ソウゴウテキ
建設費,ケンセツヒ
６年,ロクネン
研究センター,ケンキュウセンター
職業教育学校,ショクギョウキョウイクガッコウ
教員数,キョウインスウ
１０,イチゼロ
学部生,ガクブセイ
円以上,エンイジョウ
入学者,ニュウガクシャ
倍以上,バイイジョウ
技術立国,ギジュツリッコク
本質的,ホンシツテキ
伝統的,デントウテキ
それ以外,ソレイガイ
人間力入試,ニンゲンリョクニュウシ
優位性,ユウイセイ
情報分野,ジョウホウブンヤ
todo,トゥドー
数百,スウヒャク
世界トップ,セカイトップ
実現可能,ジツゲンカノウ
千万,センマン
円安,エンヤス
研究チーム,ケンキュウチーム
研究成果,ケンキュウセイカ
福田昭,フクダアキラ
過剰宣伝,カジョウセンデン
工学系,コウガクケイ
千人,センニン
keynoteat,キーノートアット
０億,ゼロオク
高度教育,コウドキョウイク
ムーア則,ムーアノリ
スーパーグローバル,スーパーグローバル
専門学校化,センモンガッコウカ
企業側,キギョウガワ
招待講演,ショウタイコウエン
宿泊費,シュクハクヒ
０年,ゼロネン
paperon,ペーパーオン
yamauchitaiji,ヤマウチタイジ
研究力,ケンキュウリョク
スタンフォード大学,スタンフォードダイガク
回目,カイメ
roadto,ロードトゥ
arethe,アレザ
atSC,エーティーエスシィ
欧州型,オウシュウガタ
thebest,ザベスト
スパコンセンター,スパコンセンター
論文誌,ロンブンシ
百万,ヒャクマン
ata,エーティーアール
０１,ゼロイチ
根本的,コンポンテキ
研究開発費,ケンキュウカイハツヒ
th.,トンエイチ
５０,ゴゼロ
理学系,リガクケイ
人文社会科学,ジンブンシャカイカガク
効果的,コウカテキ
先進的,センシンテキ
IntelXeon,インテルジーオン
並列処理,ヘイレツショリ
卒論発表,ソツロンハッピョウ
ニセ理系,ニセリケイ
００,ゼロゼロ
系学部,ケイガクブ
インターコネクト,インターコネクト
出張用務,シュッチョウヨウム
受賞記念,ジュショウキネン
学術会議,ガクジュツカイギ
教員養成,キョウインヨウセイ
結合網,ケツゴウモウ
研修会社,ケンシュウカイシャ
国際的,コクサイテキ
業界最前線,ギョウカイサイゼンセン
榎木英介,エノキエイスケ
患者さん,カンジャサン
入試制度,ニュウシセイド
accepting,アクセプトアイエヌジー
何度,ナンド
computerto,コンピュータートゥ
特任,トクニン
computerat,コンピューターアット
大学関係者,ダイガクカンケイシャ
lowpower,ロウパワー
自己対戦,ジコタイセン
間接的,カンセツテキ
５年,ゴネン
programming,プログラムミング
北森瓦版,キタモリカワラバン
スーパーコンピューティング,スーパーコンピューティング
効率化,コウリツカ
Anotheryear,アナザーイヤー
leadership,リーダーシップ
記述式,キジュツシキ
共有メモリ,キョウユウメモリ
isthat,アイエスザット
AO入試偏重,エーオーニュウシヘンチョウ
AI研究,アイケンキュウ
日本独自,ニッポンドクジ
一度,イチド
Hereis,ヒアーイズ
大学人,ダイガクジン
基盤センター,キバンセンター
yearon,イヤーオン
学位取得,ガクイシュトク
Here's,ハーエス
themachine,ザマシン
職業人,ショクギョウジン
材料系,ザイリョウケイ
地方国立,チホウコクリツ
万個,マンコ
長期的,チョウキテキ
全国共同利用,ゼンコクキョウドウリヨウ
大学教授,ダイガクキョウジュ
系研究,ケイケンキュウ
遺伝研,イデンケン
theprogram,ザプログラム
マス教育,マスキョウイク
型ロボット,ガタロボット
社会科学系,シャカイカガクケイ
以上前,イジョウマエ
博士ポスドク,ハカセポスドク
生命系,セイメイケイ
１９,イチキュウ
柔軟性,ジュウナンセイ
それ以上,ソレイジョウ
日本学術,ニッポンガクジュツ
youcan,ユウカン
トップ大学,トップダイガク
基礎学力,キソガクリョク
人物重視,ジンブツジュウシ
theother,ザアザー
学会参加,ガッカイサンカ
何人,ナンニン
nhe-1,エヌエイチイーワン
tohear,トゥヒアー
youare,ユウアレ
搭乗券,トウジョウケン
forwardto,フォーワードトゥ
list,リットルイスト
ムーンベース,ムーンベース
大変光栄,タイヘンコウエイ
国際共同,コクサイキョウドウ
NHKニュース,エヌエイチケイニュース
人材流出,ジンザイリュウシュツ
テクノロジーオンライン,テクノロジーオンライン
英米,エイベイ
十万,ジュウマン
飛躍的,ヒヤクテキ
人規模,ニンキボ
wasa,ワイドエリアサーチアール
博士人材,ハカセジンザイ
forall,フォーアルバニアレク
likea,ライクアール
isabout,イズアバウト
実験家,ジッケンカ
urmagazine,ユーアールマガジン
theIT,ザアイティー
with the,ウイズティーヒー
千億,センオク
計算パワー,ケイサンパワー
実用的,ジツヨウテキ
電力効率,デンリョクコウリツ
accepted,アクセプトイーディー
エレクトロニクス系,エレクトロニクスケイ
GPUvia,ジーピーユービア
社会格差,シャカイカクサ
博士号取り消し,ハクシゴウトリケシ
Thefirst,ザファースト
クラウドサービス,クラウドサービス
機内インターネット,キナイインターネット
研究レベル,ケンキュウレベル
米国大学,ベイコクダイガク
HPC分野,エイチピーシーブンヤ
二回,ニカイ
博士学生,ハカセガクセイ
こと自体,コトジタイ
withGPU,ウィズジーピーユー
ingthe,アイエヌジーザ
Million,メガイリオン
ポスト京,ポストキョウ
ビッグデータ時代,ビッグデータジダイ
絶望感,ゼツボウカン
thatit,ザットイット
expensive,イーエックスペンシブ
百億,ヒャクオク
islike,アイエスライク
欧州便,オウシュウビン
thetop,ザティーオーピー
万単位,マンタンイ
数兆,スウチョウ
査読国際,サドクコクサイ
isso,イズソウ
魅力的,ミリョクテキ
事務処理,ジムショリ
東大教授,トウダイキョウジュ
andnow,アンドナウ
バック賞,バックショウ
EDAExpress,イーディーエーエクスプレス
toreach,トゥリーチ
影響力,エイキョウリョク
１日,イチニチ
専門分野,センモンブンヤ
学生数,ガクセイスウ
検証実験,ケンショウジッケン
京大生,キョウダイセイ
研究院,ケンキュウイン
openingkeynote,オープニングキーノート
日本人学生,ニッポンジンガクセイ
inTokyo,イントウキョウ
研究テーマ,ケンキュウテーマ
工大祭,コウタイサイ
3DNAND,スリーディーナンド
電力性能,デンリョクセイノウ
computerfor,コンピューターフォー
人文社会,ジンブンシャカイ
情報システム,ジョウホウシステム
japanさん,ジャパンサン
情報多謝,ジョウホウタシャ
探検ツアー,タンケンツアー
日経テクノロジー,ニッケイテクノロジー
何十,ナンジュウ
スパコン国,スパコンコク
基金化,キキンカ
一例,イチレイ
likethe,ライクザ
二人,ニニン
世界最高,セカイサイコウ
jpさん,ジェーピーサン
Togetterまとめ,トゥギャッターマトメ
大岡山キャンパス,オオオカヤマキャンパス
０％,ゼロパーセント
一万,イチマン
補佐官,ホサカン
日中,ビチュウ
職業訓練校化,ショクギョウクンレンコウカ
ismore,イズモア
在学中,ザイガクチュウ
Chinaand,チャイナアンド
科学技術立国,カガクギジュツリッコク
硬直化,コウチョクカ
虚学,ウロガク
博士号取得,ハクシゴウシュトク
査読プロセス,サドクプロセス
inproduct,インプロダクト
arestill,アレスティル
ハーバード,ハーバード
forHPC,フォーエイチピーシー
研究活動,ケンキュウカツドウ
割程度,ワリテイド
社会系,シャカイケイ
inMay,インメイ
一点,イチテン
herein,ヒアーイン
点突破,テントッパ
designed,デザインイーディー
計算環境,ケイサンカンキョウ
メモリ量,メモリリョウ
数倍,スウバイ
進行中,シンコウチュウ
プログラム委員長,プログラムイインチョウ
一件,イチケン
画像認識,ガゾウニンシキ
小保方さん,オボカタサン
１台,イチダイ
interconnect,インテルコネクト
下村文科相,シモムラモンカショウ
高速化,コウソクカ
米企業,ベイキギョウ
データシート,データシート
発展途上国化,ハッテントジョウコクカ
海外流出,カイガイリュウシュツ
primeur,プライムユーアール
理論家,リロンカ
トップ研究,トップケンキュウ
悲観的,ヒカンテキ
presented,プレゼントイーディー
JapaneseHPC,ジャパニーズエイチピーシー
nhe2,エヌエイチイーツー
研究不正,ケンキュウフセイ
日比嘉高研究室,ヒビヨシタカケンキュウシツ
修士卒,シュウシソツ
的イノベーション,テキイノベーション
旅費規定,リョヒキテイ
大学ランク,ダイガクランク
IoT系,アイオーティーケイ
thatis,ザットイズ
ドンガラ先生,ドンガラセンセイ
致命的,チメイテキ
具体例,グタイレイ
ビッグデータ処理,ビッグデータショリ
overthe,オーバーザ
ブロック化,ブロックカ
専門知識,センモンチシキ
平均年収,ヘイキンネンシュウ
計算処理,ケイサンショリ
並列性,ヘイレツセイ
名以上,メイイジョウ
査読会議,サドクカイギ
教養教育,キョウヨウキョウイク
atHP,エーティーエイチピー
inthat,インザット
leftto,レフトトゥ
１年,イチネン
１３,イチサン
分散処理,ブンサンショリ
何時,ナンジ
週連続,シュウレンゾク
調査結果,チョウサケッカ
timeto,タイムトゥ
小型核融合炉,コガタカクユウゴウロ
医療系,イリョウケイ
theopening,ザオープニング
研究結果,ケンキュウケッカ
懇親会,コンシンカイ
スパコンTSUBAME,スパコンツバメ
needmore,ニードモア
拡張ヘッダ,カクチョウヘッダ
１枚,イチマイ
HPCPeople,エイチピーシーピープル
リサーチ大学,リサーチダイガク
企業利用,キギョウリヨウ
年分,ネンブン
breakfastbriefing,ブレックファストブリーフィング
ここ数,ココスウ
最終学歴,サイシュウガクレキ
企業向け,キギョウムケ
dowith,ドーウィズ
thesame,ザサメ
ネット上,ネットジョウ
１６,イチロク
では事情,デハジジョウ
上位会議,ジョウイカイギ
needto,ニードトゥ
我々情報,ワレワレジョウホウ
中国SIM,チュウゴクエスアイエム
happyto,ハッピイトゥ
時間以上,ジカンイジョウ
forQuantum,フォークァンタム
スポーツ振興,スポーツシンコウ
innovation,インオベーション
都市OS,トシオンスカ
オンライン化,オンラインカ
IDCbreakfast,アイディーシーブレックファスト
日本以外,ニッポンイガイ
自分達,ジブンタチ
何百,ナンヒャク
推薦入試,スイセンニュウシ
義務化,ギムカ
ビッグデータ解析,ビッグデータカイセキ
さん死去,サンシキョ
衝撃的,ショウゲキテキ
国立文系,コクリツブンケイ
実験的,ジッケンテキ
専用スパコン,センヨウスパコン
地方大学,チホウダイガク
技術力,ギジュツリョク
arein,アレイン
Nowthe,ノウザ
大変参考,タイヘンサンコウ
何年,ナンネン
法人税率,ホウジンゼイリツ
機械学習システム,キカイガクシュウシステム
二次元,ニジゲン
激安,ゲキヤス
グラフ解析,グラフカイセキ
運用体制,ウンヨウタイセイ
驚異的,キョウイテキ
Itdoes,イットドーズ
若年層,ジャクネンソウ
等確認書,トウカクニンショ
保守的,ホシュテキ
スパコン開発,スパコンカイハツ
データ解析,データカイセキ
平木先生,ヒラキセンセイ
SGIUV,エスジーアイユーブイ
高橋先生,タカハシセンセイ
onJapanese,オンジャパニーズ
決定事項,ケッテイジコウ
thephoto,ザフォト
nowopen,ナウオープン
発学力,ハツガクリョク
某省,ボウショウ
KFCis,ケーエフシーアイエス
ざまじい,ザマジイ
制度的,セイドテキ
ヶ月分,カゲツブン
toSC,トゥエスシィ
年度実施,ネンドジッシ
英語能力,エイゴノウリョク
オープンソース化,オープンソースカ
集金部隊,シュウキンブタイ
Nowfor,ノウフォー
一人前,イチニンマエ
３０,サンゼロ
海外留学,カイガイリュウガク
ベクトル機,ベクトルキ
否定的,ヒテイテキ
４年,ヨンネン
重点課題,ジュウテンカダイ
isan,イズアン
有用性,ユウヨウセイ
子供時代,コドモジダイ
myfriends,マイフレンズ
パラメータチューニング,パラメータチューニング
theMove,ザムーブ
学部教育,ガクブキョウイク
８年,ハチネン
onmy,オンマイ
９年度,キュウネンド
Peopleon,ピープルオン
hasalways,ハスオールウェイズ
コア版,コアバン
理研上層部,リケンジョウソウブ
inCS,インシーエス
解決策,カイケツサク
inmy,インマイ
学習データ,ガクシュウデータ
富山某氏,トヤマボウシ
HPThe,エイチピーザ
the mostpower,ザモストパワー
近視眼的,キンシガンテキ
hearthat,ヒアーザット
少子化,ショウシカ
コンピュータスキル,コンピュータスキル
recommend,レカムエンド
開発中,カイハツチュウ
確定調査,カクテイチョウサ
新型基幹,シンガタキカン
基本的,キホンテキ
研究用,ケンキュウヨウ
トップIT,トップアイティー
一流大学,イチリュウダイガク
３年,サンネン
安藤氏,アンドウシ
thedetails,ザディテールズ
ヒューマノイドロボット,ヒューマノイドロボット
規模計算,キボケイサン
国立大文系,コクリツダイブンケイ
大学院情報,ダイガクインジョウホウ
トップ層,トップソウ
米グーグル,ベイグーグル
ifyou,イフユウ
日本全体,ニッポンゼンタイ
革命的,カクメイテキ
４０,ヨンゼロ
MBあたり,エムビーアタリ
asin,アズイン
thelast,ザラスト
material,マテリアリットル
二度,ニド
thecloud,ザクラウド
edat,イーディーアット
デジタル化,デジタルカ
シミュレーション研究,シミュレーションケンキュウ
職能専門学校,ショクノウセンモンガッコウ
研究室選び,ケンキュウシツエラビ
theJapanese,ザジャパニーズ
RTこれ,アールティーコレ
３人,サンニン
階層固定,カイソウコテイ
学力入試,ガクリョクニュウシ
f1jp,エフワンジェーピー
Thebest,ザベスト
GDP比,ジーディーピーヒ
円強,エンキョウ
oldfriend,オールドフレンド
性能進化,セイノウシンカ
学部入試,ガクブニュウシ
ANA欧州,エイエヌエイオウシュウ
米国企業,ベイコクキギョウ
7日間,ナノカカン
illionfor,イリオンフォー
デヴィッド・ボウイさん,デヴィッドボウイサン
固定概念,コテイガイネン
研究予算,ケンキュウヨサン
90年代前半,キュウジュウネンダイゼンハン
ICT女子,アイシーティージョシ
２８,ニハチ
８日,ハチニチ
ifit,イフイット
分の一,ブンノイチ
職能校,ショクノウコウ
コア数,コアスウ
ARMサーバ,アームサーバ
組込み系,クミコミケイ
北里研究所,キタザトケンキュウジョ
申請書,シンセイショ
isit,イズイット
GPU.,ゲーペーユー
インタビュー記事,インタビューキジ
５％,ゴパーセント
SlideShare,スライドシェア
データ量,データリョウ
千円,センエン
査読論文,サドクロンブン
〇〇,レイレイ
morein,モアイン
倍程度,バイテイド
東工大クラス,トウコウダイクラス
大学中退,ダイガクチュウタイ
経営力,ケイエイリョク
wasthe,ワイドエリアサーチザ
複合的,フクゴウテキ
博士進学,ハカセシンガク
調整費,チョウセイヒ
講演中,コウエンチュウ
tokeep,トゥキープ
Japanis,ジャパンイズ
的発見,テキハッケン
６０,ロクゼロ
起爆剤,キバクザイ
HPCfor,エイチピーシーフォー
参考程度,サンコウテイド
HPCis,エイチピーシーイズ
会議録,カイギロク
年近く,ネンチカク
inDC,インディーシー
映画ニュース,エイガニュース
松岡研究室,マツオカケンキュウシツ
中期計画,チュウキケイカク
０人,ゼロニン
isin,アイエスイン
通信量,ツウシンリョウ
the whole,ザフーエルイー
toan,トゥアン
創造性,ソウゾウセイ
制度上,セイドジョウ
チップ内,チップナイ
文科省検討,モンカショウケントウ
教育機会,キョウイクキカイ
％以上,パーセントイジョウ
突破型,トッパガタ
isopen,アイエスオープン
上位校,ジョウイコウ
博士取得,ハカセシュトク
一位,イチイ
的進化,テキシンカ
Gb/s,ギガビーエス
ソルバー,ソルバー
theIEEE,ザアイトリプルイー
商用クラウド,ショウヨウクラウド
ちゃら,チャラ
１４,イチヨン
京都大学,キョウトダイガク
赤崎先生,アカサキセンセイ
バイオ系,バイオケイ
物理的,ブツリテキ
大村智博士,オオムラサトシハカセ
bringing,ビーアールインギング
改革委,カイカクイ
論文執筆,ロンブンシッピツ
theWorld,ザワールド
年先,ネンサキ
研究員制度,ケンキュウインセイド
取得者,シュトクシャ
年以内,ネンイナイ
with this,ウイズティーヒズ
年半,ネンハン
中心事業,チュウシンジギョウ
研究分野,ケンキュウブンヤ
justlike,ジャストライク
IT業界,アイティーギョウカイ
科学技術基本計画,カガクギジュツキホンケイカク
目標値,モクヒョウチ
０万,ゼロマン
佐藤さん,サトウサン
経験者,ケイケンシャ
就職先,シュウショクサキ
トップ会議,トップカイギ
利用成果,リヨウセイカ
Mto,メガトゥ
顧客データ,コキャクデータ
宿泊証明書,シュクハクショウメイショ
実施方針,ジッシホウシン
科学界,カガクカイ
期連続,キレンゾク
talkby,トークビーワイ
曽野綾子氏,ソノアヤコシ
万マイル,マンマイル
toHPC,トゥエイチピーシー
９ヶ月,キュウカゲツ
ARMv8,アームブイエイト
andmore,アンドモア
絶賛進行,ゼッサンシンコウ
QSランキング,キューエスランキング
受賞式,ジュショウシキ
isfor,アイエスフォー
革新的,カクシンテキ
理解度,リカイド
利用可能,リヨウカノウ
的創作,テキソウサク
京コンピュータ,キョウコンピュータ
教育学修士,キョウイクガクシュウシ
ノートPC,ノートピーシー
実務家,ジツムカ
the center,ザシーエンター
６年度,ロクネンド
番惑星,バンワクセイ
用務等,ヨウムトウ
金銭的,キンセンテキ
％減,パーセントゲン
学部卒,ガクブソツ
第9番,ダイクバン
detailed,ディテールイーディー
向上策,コウジョウサク
学部学生,ガクブガクセイ
松岡ら,マツオカラ
４％,ヨンパーセント
aboutthe,アバウトザ
維持費,イジヒ
onperforma,オンパフォーマ
一橋,イチキョウ
丸一,マルイチ
大学入学,ダイガクニュウガク
進学者,シンガクシャ
TheImitation,ザイミテーション
年程度,ネンテイド
バッファキャッシュ,バッファキャッシュ
forResearch,フォーリサーチ
最低ライン,サイテイライン
インドビザ,インドビザ
計画書,ケイカクショ
米国的,ベイコクテキ
理論系,リロンケイ
wonderif,ワンダーイフ
メモリ階層,メモリカイソウ
theSC,ザエスシィ
IBMResearch,アイビーエムリサーチ
大学制度,ダイガクセイド
Benchmark,ベンチマーク
万ノード,マンノード
tomake,トゥメイク
atTokyo,エーティートウキョウ
良記事,リョウキジ
CPUコア,シーピーユーコア
人事制度,ジンジセイド
制度設計,セイドセッケイ
ableto,エイブルトゥ
四百,ヨンヒャク
youin,ユウイン
foran,フォーアン
カレッジレベル,カレッジレベル
飲み物サービス,ノミモノサービス
Mfor,メガフォー
forJapan,フォージャパン
人あたり,ニンアタリ
一台,イチダイ
設計者,セッケイシャ
社会ニーズ,シャカイニーズ
researcher,リサーチイーアール
何回,ナンカイ
isout,アイエスアウト
コンプライアンス委員会,コンプライアンスイインカイ
連続世界,レンゾクセカイ
医学賞,イガクショウ
andbeyond,アンドビヨンド
cellphones,セルフォーンズ
研究経験,ケンキュウケイケン
大卒女性,ダイソツジョセイ
SUG15,スージーフィフティーン
オープンジャーナル,オープンジャーナル
一般ケース,イッパンケース
2000年辺り,ニセンネンアタリ
クラシックベクトル,クラシックベクトル
学問的,ガクモンテキ
ネットインフラ,ネットインフラ
演算性能,エンザンセイノウ
avery,アールベリイ
大幅値上げ,オオハバネアゲ
将来的,ショウライテキ
上級職,ジョウキュウショク
二部,ニブ
人がたくさん,ジンガタクサン
不安定さ,フアンテイサ
車掌さん,シャショウサン
海外脱出,カイガイダッシュツ
ロボット研究,ロボットケンキュウ
AppliedMicro,アプライドマイクロ
thefinal,ザファイナル
機長さん,キチョウサン
年度予算,ネンドヨサン
優秀さ,ユウシュウサ
移植手術,イショクシュジュツ
最高額,サイコウガク
海外就職,カイガイシュウショク
大変気,タイヘンキ
用SoC,ヨウエスオーシー
国家創造,コッカソウゾウ
FPGAアクセラレータ,エフピージーエーアクセラレータ
データサイエンティスト（）,データサイエンティストカッコ
一握り,イチニギリ
的職業教育,テキショクギョウキョウイク
利用シンポジウム,リヨウシンポジウム
東大東工大,トウダイトウコウダイ
withHPC,ウィズエイチピーシー
経営側,ケイエイガワ
theTokyo,ザトウキョウ
個人的,コジンテキ
先生ら,センセイラ
実験系,ジッケンケイ
%to,パーセントトゥ
兆回,チョウカイ
大学ごと,ダイガクゴト
半分以下,ハンブンイカ
%程度,パーセントテイド
IoT向け,アイオーティームケ
youdo,ユウドー
電気代,デンキダイ
今晩News,コンバンニュース
IBMx86,アイビーエムエックスハチロク
社会科学者,シャカイカガクシャ
毎年数,マイトシスウ
山中伸弥氏,ヤマナカシンヤシ
１位,イチイ
地球シミュレータ探検,チキュウシミュレータタンケン
一般入試,イッパンニュウシ
d signfor,ディーサインフォー
池上さん,イケガミサン
onall,オンアルバニアレク
計算時間,ケイサンジカン
GPU仮想化,ジーピーユーカソウカ
費総額,ヒソウガク
バックグランド,バックグランド
ペタ級,ペタキュウ
toJapan,トゥジャパン
infra,アイエヌエフアールエー
学力試験,ガクリョクシケン
皆様是非,ミナサマゼヒ
十％,ジュウパーセント
fordeep,フォーディープ
任期付き,ニンキツキ
学学術,ガクガクジュツ
初代優勝者,ショダイユウショウシャ
反証求,ハンショウモトメ
新着ブログ,シンチャクブログ
不都合な真実HPC,フツゴウナシンジツエイチピーシー
itcan,アイティーカン
IT分野,アイティーブンヤ
achip,アールチップ
情報理工学研究科,ジョウホウリコウガクケンキュウカ
２割,ニワリ
D-Wave2X,ディーウェイブダフルスカル
それ以下,ソレイカ
2日前,フツカマエ
層人口,ソウジンコウ
bad sign,ビーエーディーサイン
GoogleCEO,グーグルシーイーオー
時前,ジマエ
人以上,ニンイジョウ
中心人物,チュウシンジンブツ
現実問題,ゲンジツモンダイ
メモリXeon,メモリジーオン
横浜研究所,ヨコハマケンキュウジョ
persocket,ピーイーアールソケット
電力化,デンリョクカ
三倍,サンバイ
インダストリー,インダストリー
toJoin,トゥジョイン
数分の,スウブンノ
changesin,チェンジズイン
hasmore,ハスモア
人工知能ブーム,ジンコウチノウブーム
指導教員,シドウキョウイン
改革プラン,カイカクプラン
系計算,ケイケイサン
知能システム,チノウシステム
金融特別区,キンユウトクベツク
parallelism,パラレルアイエスエム
Intelis,インテルイズ
時間遅れ,ジカンオクレ
得意分野,トクイブンヤ
理系文系,リケイブンケイ
usedin,ユーズドイン
newsprogram,ニュースプログラム
任期付,ニンキヅケ
全体的,ゼンタイテキ
十%,ジュウパーセント
バック氏,バックシ
富士通研,フジツウケン
公的スパコン,コウテキスパコン
予算要求,ヨサンヨウキュウ
理学部情報科学,リガクブジョウホウカガク
日本にも,ニッポンニモ
claiming,シーエルエイミング
Itwas,イットワイドエリアサーチ
awayat,アウェイアット
研究教育職員,ケンキュウキョウイクショクイン
社会シミュレーション,シャカイシミュレーション
統数,ミツルスウ
HaswellXeon,ハスウェルジーオン
inKobe,インコウベ
分析体制,ブンセキタイセイ
paperselect,ペーパーセレクト
alot,アールロット
Intelto,インテルトゥ
最速スパコン,サイソクスパコン
amsorry,エーエムソーリー
ユーザー企業,ユーザーキギョウ
資料招請,シリョウショウセイ
ブログ更新,ブログコウシン
系News,ケイニュース
大型プロジェクト,オオガタプロジェクト
計算機資源,ケイサンキシゲン
makea,メイクアール
大学研究,ダイガクケンキュウ
hasstarted,ハススターテッド
HPChas,エイチピーシーハス
大学院進学,ダイガクインシンガク
我々大学,ワレワレダイガク
系廃止,ケイハイシ
万台,マンダイ
国際流通,コクサイリュウツウ
againis,アゲインイズ
ランク上昇,ランクジョウショウ
世界レベル,セカイレベル
十分高速,ジュウブンコウソク
競技ダンス選手権,キョウギダンスセンシュケン
toImprove,トゥインプルーブ
myold,マイオールド
兼業規定,ケンギョウキテイ
inpower,インパワー
危機的,キキテキ
孫さん,マゴサン
SCfor,エスシィフォー
大学予算,ダイガクヨサン
PFSC,ピーエフエスシィ
スパコン一つ,スパコンヒトツ
外部有識者,ガイブユウシキシャ
shehas,シーハス
daysto,デイズトゥ
因果推論,インガスイロン
数学的,スウガクテキ
IT国家,アイティーコッカ
外資金融,ガイシキンユウ
的プログラミング,テキプログラミング
Todayis,トゥデイイズ
一面,イチメン
稼働状況,カドウジョウキョウ
大学全体,ダイガクゼンタイ
talkhere,トークヒアー
inJapanese,インジャパニーズ
なにこれ,ナニコレ
研究開発投資,ケンキュウカイハツトウシ
平均年齢,ヘイキンネンレイ
検討会,ケントウカイ
