産総研人工知能,サンソウケンジンコウチノウ
投稿先,トウコウサキ
上位３つ,ジョウイミッツ
昇級発令,ショウキュウハツレイ
発令通知,ハツレイツウチ
通知書,ツウチショ
職務基礎,ショクムキソ
基礎額,キソガク
印哲,シルシアキラ
鍼灸マッサージ,シンキュウマッサージ
マッサージ師,マッサージシ
印哲,シルシアキラ
結局科,ケッキョクカ
科哲,カアキラ
就職先,シュウショクサキ
東大文学部,トウダイブンガクブ
インド哲学仏教,インドテツガクブッキョウ
仏教学,ブッキョウガク
学研究室,ガクケンキュウシツ
うちに婿養子,ウチニムコヨウシ
就職先,シュウショクサキ
結婚相手,ケッコンアイテ
はてなブログ北九州,ハテナブログキタキュウシュウ
北九州旅行,キタキュウシュウリョコウ
学会編,ガッカイヘン
コンテンツ置き場,コンテンツオキバ
年ぶり,ネンブリ
単行本派,タンコウボンハ
首都大生,シュトダイセイ
NAIST生,ナイストセイ
実力的,ジツリョクテキ
英語能力試験,エイゴノウリョクシケン
代わり研究,カワリケンキュウ
就職先,シュウショクサキ
さそう,サソウ
経済的,ケイザイテキ
就職先,シュウショクサキ
先一覧,サキイチラン
就活売り手,シュウカツウリテ
売り手市場,ウリテシジョウ
年度進路,ネンドシンロ
進路状況,シンロジョウキョウ
Python機械学習,パイソンキカイガクシュウ
機械学習プログラミング,キカイガクシュウプログラミング
6月末,ロクガツマツ
学習不足,ガクシュウフソク
集団学習,シュウダンガクシュウ
深層学習,シンソウガクシュウ
多層パーセプトロン,タソウパーセプトロン
これ以降,コレイコウ
以降GNU Emacs,イコウグニューイーマックス
最終的,サイシュウテキ
何人,ナンニン
腕利きハッカー,ウデキキハッカー
２年,ニネン
バイト単位,バイトタンイ
Mule機能,ミュールキノウ
半田さん,ハンダサン
文字単位,モジタンイ
昔話ついで,ムカシバナシツイデ
内部表現,ナイブヒョウゲン
バイト単位,バイトタンイ
単位じゃなくて,タンイジャナクテ
じゃなくて文字,ジャナクテモジ
文字単位,モジタンイ
平均計算,ヘイキンケイサン
計算量,ケイサンリョウ
パッケージシステム,パッケージシステム
asOS X,アズオーエステン
OS XP,オーエステンピー
毎年学生,マイトシガクセイ
年前,ネンマエ
結局毎年,ケッキョクマイトシ
外部進学,ガイブシンガク
進学生,シンガクセイ
本ノック,ホンノック
NLPチュートリアル,エヌエルピーチュートリアル
入学前,ニュウガクマエ
入学後,ニュウガクゴ
内部進学,ナイブシンガク
毎週進捗,マイシュウシンチョク
進捗報告,シンチョクホウコク
外部進学,ガイブシンガク
進学生,シンガクセイ
プログラム委員,プログラムイイン
国際会議,コクサイカイギ
江原さん,エバラサン
まとも度,マトモド
度下位,ドカイ
個人的,コジンテキ
paperon,ペーパーオン
networksand,ネットワークスアンド
isnow,イズナウ
来年度あたり,ライネンドアタリ
弊研究室,ヘイケンキュウシツ
ジョブマーケット,ジョブマーケット
仕事しまっせ,シゴトシマッセ
研究室見学,ケンキュウシツケンガク
研究室見学,ケンキュウシツケンガク
ブームの間だけ,ブームノマダケ
編集距離,ヘンシュウキョリ
類似画像検索,ルイジガゾウケンサク
極めて有益,キメテユウエキ
PHP本,ピーエイチピーホン
親戚一同,シンセキイチドウ
国際会議,コクサイカイギ
会議Inter,カイギインテル
InterSpeech,インテルスピーチ
中村研,ナカムラケン
研関係者,ケンカンケイシャ
小林くん,コバヤシクン
辻岡くん,ツジオカクン
Oliverくん,オリバークン
研究者,ケンキュウシャ
深層学習,シンソウガクシュウ
サーバ管理,サーバカンリ
世界トップ,セカイトップ
常連校,ジョウレンコウ
人位,ニンイ
GBメモリ,ギガバイトメモリ
一人,イチニン
サーバ自作,サーバジサク
タクシー帰宅,タクシーキタク
円以下,エンイカ
学部生,ガクブセイ
斉藤孝先生,サイトウタカシセンセイ
機械翻訳関係,キカイホンヤクカンケイ
一握り,イチニギリ
終了後,シュウリョウゴ
懇親会,コンシンカイ
会予定,カイヨテイ
懇親会,コンシンカイ
研究室内,ケンキュウシツナイ
toImprove,トゥインプルーブ
Improvean,インプルーブアン
anSMT,アンエスエムティー
theurl,ザユーアールエル
Thanksfor,サンクスフォー
業務連絡,ギョウムレンラク
本日午前,ホンジツゴゼン
午前中,ゴゼンチュウ
大学院教務,ダイガクインキョウム
教務委員会,キョウムイインカイ
ため論文,タメロンブン
論文紹介,ロンブンショウカイ
度社会人,ドシャカイジン
社会人経験,シャカイジンケイケン
上下左右,ジョウゲサユウ
あっちいって,アッチイッテ
就職活動前,シュウショクカツドウマエ
研究成果,ケンキュウセイカ
体系的,タイケイテキ
研究室インターンシップ,ケンキュウシツインターンシップ
以外真面目,イガイマジメ
弁護士資格,ベンゴシシカク
医師免許,イシメンキョ
進しよう,シンシヨウ
審査委員,シンサイイン
投稿数,トウコウスウ
ワークライフバランスキャンペーン,ワークライフバランスキャンペーン
分以内,フンイナイ
学内共通ルール,ガクナイキョウツウルール
時間半,ジカンハン
時半ま,ジハンマ
受験希望,ジュケンキボウ
希望者,キボウシャ
人うち,ニンウチ
研究室志望,ケンキュウシツシボウ
志望者,シボウシャ
一般選抜,イッパンセンバツ
外部受験生,ガイブジュケンセイ
筆記試験免除,ヒッキシケンメンジョ
内部生,ナイブセイ
軒並み落ち,ノキナミオチ
フロッピーディスク時代,フロッピーディスクジダイ
医用画像,イヨウガゾウ
深層学習,シンソウガクシュウ
結局入力,ケッキョクニュウリョク
語文,ゴブン
語文,ゴブン
平叙文,ヘイジョブン
命令文,メイレイブン
対話生成,タイワセイセイ
学生インターン,ガクセイインターン
対話システム,タイワシステム
単語分割,タンゴブンカツ
述語項,ジュツゴコウ
項構造,コウコウゾウ
構造解析,コウゾウカイセキ
小町自身,コマチジシン
言語資源作成,ゲンゴシゲンサクセイ
基盤的,キバンテキ
とーちゃん,トーチャン
男子学生,ダンシガクセイ
都度指摘,ツドシテキ
3rded,サードイーディー
業務連絡,ギョウムレンラク
いま研究室,イマケンキュウシツ
中間試験中,チュウカンシケンチュウ
毎回練習問題,マイカイレンシュウモンダイ
スライド上げ,スライドアゲ
まま放置,ママホウチ
最近娘,サイキンムスメ
二人,ニニン
なまえかく,ナマエカク
かくからー,カクカラー
速度的,ソクドテキ
メモリたくさん,メモリタクサン
たくさんマシン,タクサンマシン
GPUたくさん,ジーピーユータクサン
たくさんマシン,タクサンマシン
それぞれ用意,ソレゾレヨウイ
ストリームデータ,ストリームデータ
時間差,ジカンサ
減衰率,ゲンスイリツ
類似度,ルイジド
しきい値以上,シキイチイジョウ
類似度,ルイジド
中村研究室,ナカムラケンキュウシツ
先人達,センジンタチ
数多く,スウオオク
継承者,ケイショウシャ
者問題,シャモンダイ
古代兵器化,コダイヘイキカ
博士号取得,ハクシゴウシュトク
IBM東京,アイビーエムトウキョウ
東京基礎,トウキョウキソ
基礎研究所,キソケンキュウジョ
榎美紀,エノキミキ
美紀さん,ミキサン
研究室出身,ケンキュウシツシュッシン
研究室インターンシップ,ケンキュウシツインターンシップ
人工知能学会参加,ジンコウチノウガッカイサンカ
参加組,サンカグミ
言語処理,ゲンゴショリ
進したい人,シンシタイジン
専門的,センモンテキ
数理システム,スウリシステム
数理システム,スウリシステム
一つ部屋,ヒトツヘヤ
深層学習,シンソウガクシュウ
学習本,ガクシュウホン
かなり量,カナリリョウ
深層学習,シンソウガクシュウ
研究成果,ケンキュウセイカ
年目,ネンメ
誕生日パーティー,タンジョウビパーティー
毎月誕生日,マイツキタンジョウビ
誕生日パーティー,タンジョウビパーティー
研究室見学,ケンキュウシツケンガク
希望者,キボウシャ
夏季入試,カキニュウシ
筆記試験免除,ヒッキシケンメンジョ
倍理解,バイリカイ
共同研究,キョウドウケンキュウ
これ人工知能学会,コレジンコウチノウガッカイ
深層学習,シンソウガクシュウ
NAIST松本,ナイストマツモト
松本研,マツモトケン
深層学習,シンソウガクシュウ
NAIST松本,ナイストマツモト
松本研,マツモトケン
NAIST中村,ナイストナカムラ
中村研,ナカムラケン
進したい人,シンシタイジン
何人,ナンニン
人NAIST,ニンナイスト
松本研,マツモトケン
計算機資源,ケイサンキシゲン
中村研,ナカムラケン
いまうち,イマウチ
GPU関係,ジーピーユーカンケイ
あたり面倒,アタリメンドウ
条件付き,ジョウケンツキ
付き言語モデル,ツキゲンゴモデル
分散表現,ブンサンヒョウゲン
直接モデル,チョクセツモデル
博士学生,ハカセガクセイ
有効活用,ユウコウカツヨウ
計算機環境,ケイサンキカンキョウ
NAIST中村,ナイストナカムラ
中村研,ナカムラケン
先ほどくん,サキホドクン
NAIST松本,ナイストマツモト
松本研,マツモトケン
中村研,ナカムラケン
NAIST中村,ナイストナカムラ
中村研,ナカムラケン
計算機資源,ケイサンキシゲン
中村研,ナカムラケン
CPUコア,シーピーユーコア
コア数,コアスウ
これ以外,コレイガイ
計算機環境,ケイサンキカンキョウ
研究費,ケンキュウヒ
学位取得,ガクイシュトク
人が身近,ジンガミヂカ
研究者,ケンキュウシャ
どんだけデータ,ドンダケデータ
データ作り,データヅクリ
論文誌,ロンブンシ
引用数,インヨウスウ
短期的,タンキテキ
長期的,チョウキテキ
弊研究室,ヘイケンキュウシツ
中村研,ナカムラケン
GBx4,ギガバイトエックスフォー
GBx87,ギガバイトエックスハチナナ
ニューラルネット翻訳,ニューラルネットホンヤク
所大量,トコロタイリョウ
資金投資,シキントウシ
実用化,ジツヨウカ
高速動作,コウソクドウサ
一昔前,ヒトムカシマエ
組合せ最適化屋,クミアワセサイテキカヤ
コーパス全体,コーパスゼンタイ
重要度,ジュウヨウド
度的,ドテキ
ニューラルモデル,ニューラルモデル
週間報告,シュウカンホウコク
アジェンダ相当,アジェンダソウトウ
進捗報告,シンチョクホウコク
分程度,フンテイド
週間報告,シュウカンホウコク
報告相当,ホウコクソウトウ
先輩同期,センパイドウキ
同期後輩,ドウキコウハイ
さそう,サソウ
最近インターンシップ,サイキンインターンシップ
インターンシップ等,インターンシップトウ
年間数,ネンカンスウ
数人,スウニン
NAIST松本,ナイストマツモト
松本研,マツモトケン
進学後,シンガクゴ
年後,ネンゴ
体力的,タイリョクテキ
一人,イチニン
人子ども,ニンコドモ
進捗報告,シンチョクホウコク
自分的,ジブンテキ
国際会議,コクサイカイギ
採択率,サイタクリツ
国際会議,コクサイカイギ
君ん,キミン
こ今何,ココンナニ
カメラレディ,カメラレディ
カメラレディ,カメラレディ
一回,イチカイ
回休み,カイヤスミ
最終日,サイシュウビ
学振PD,ガクシンピーディー
現状スペース,ゲンジョウスペース
黒橋,クロキョウ
橋先生,キョウセンセイ
深層学習,シンソウガクシュウ
典型例,テンケイレイ
結局あと,ケッキョクアト
夏休み以降,ナツヤスミイコウ
以降基礎,イコウキソ
基礎勉強,キソベンキョウ
基礎勉強会,キソベンキョウカイ
達成率,タッセイリツ
研究スピード,ケンキュウスピード
基礎勉強会,キソベンキョウカイ
二週間,ニシュウカン
RT大学,アールティーダイガク
大学成績,ダイガクセイセキ
１年,イチネン
卒業時,ソツギョウジ
東京理科大調査,トウキョウリカダイチョウサ
１年,イチネン
１週,イチシュウ
出欠状況,シュッケツジョウキョウ
学生生活,ガクセイセイカツ
今ここ,イマココ
進捗報告,シンチョクホウコク
毎週進捗,マイシュウシンチョク
進捗報告,シンチョクホウコク
定期的,テイキテキ
ニューラル言語モデル,ニューラルゲンゴモデル
n-gram言語モデル,エヌグラムゲンゴモデル
定式化,テイシキカ
言語処理,ゲンゴショリ
機械学習モデル,キカイガクシュウモデル
インターンシップガイダンス,インターンシップガイダンス
授業単位,ジュギョウタンイ
具体例,グタイレイ
迷宮時代,メイキュウジダイ
コーパスセラピー,コーパスセラピー
MTnow,エムティーナウ
長岡技,ナガオカワザ
技大,ワザダイ
実務訓練,ジツムクンレン
国際会議,コクサイカイギ
レシピ文,レシピブン
何本,ナンホン
研究室では,ケンキュウシツデハ
博士課程,ハカセカテイ
博士課程,ハカセカテイ
外部生,ガイブセイ
生毎年,セイマイトシ
内部進学,ナイブシンガク
全く心配,ゼンクシンパイ
博士課程,ハカセカテイ
卒論相当,ソツロンソウトウ
国際会議,コクサイカイギ
本人次第,ホンニンシダイ
古典的手法,コテンテキシュホウ
年様子,ネンヨウス
事務処理,ジムショリ
年後,ネンゴ
NAIST松本,ナイストマツモト
松本研,マツモトケン
松本先生,マツモトセンセイ
人工知能ブーム,ジンコウチノウブーム
例年通り,レイネンドオリ
受験問い合わせ,ジュケントイアワセ
学生数,ガクセイスウ
深層学習,シンソウガクシュウ
中村研,ナカムラケン
松本研,マツモトケン
講演スライド,コウエンスライド
ページ目,ページメ
ここ数,ココスウ
数年,スウネン
excel力,エクセルリョク
明日実験,アシタジッケン
実験的,ジッケンテキ
AzureML,アジュールエムエル
授業やってみよう,ジュギョウヤッテミヨウ
機械学習ブラックボックス,キカイガクシュウブラックボックス
ブラックボックス時代,ブラックボックスジダイ
時代到来,ジダイトウライ
朱中元,シュチュウゲン
中元君,チュウゲンクン
彼自身,カレジシン
ニューラル機械翻訳,ニューラルキカイホンヤク
英文先頭,エイブンセントウ
社会人博士,シャカイジンハカセ
博士課程,ハカセカテイ
課程バハムート,カテイバハムート
では説明,デハセツメイ
個人的教訓,コジンテキキョウクン
滞在研究,タイザイケンキュウ
研究者,ケンキュウシャ
者用,シャヨウ
用宿泊施設,ヨウシュクハクシセツ
滞在先,タイザイサキ
滞在先,タイザイサキ
信用履歴,シンヨウリレキ
人間扱い,ニンゲンアツカイ
不動産屋,フドウサンヤ
雇用システム,コヨウシステム
勤続年数,キンゾクネンスウ
２乗,ニジョウ
数年,スウネン
年後,ネンゴ
開催決定,カイサイケッテイ
数合わせ,カズアワセ
文法項目,ブンポウコウモク
哲学入門,テツガクニュウモン
哲学科,テツガクカ
科出身,カシュッシン
現代哲学,ゲンダイテツガク
遺伝子操作,イデンシソウサ
遺伝子操作,イデンシソウサ
さそう,サソウ
実行時間,ジッコウジカン
行ごと,クダリゴト
実行時間,ジッコウジカン
松本研,マツモトケン
大学院進学,ダイガクインシンガク
進学前,シンガクマエ
D1以上,ディワンイジョウ
人が研究室,ジンガケンキュウシツ
研究者,ケンキュウシャ
今日このごろ,キョウコノゴロ
松本研,マツモトケン
世界有数,セカイユウスウ
有効活用,ユウコウカツヨウ
松本研,マツモトケン
研以上,ケンイジョウ
有効活用,ユウコウカツヨウ
主戦場,シュセンジョウ
入社後,ニュウシャゴ
音声系,オンセイケイ
系コミュニティ,ケイコミュニティ
言語系,ゲンゴケイ
系コミュニティ,ケイコミュニティ
JapaneseUniversal,ジャパニーズユニバーサル
入手用,ニュウシュヨウ
リンク先,リンクサキ
すべて日本語,スベテニホンゴ
海外発送,カイガイハッソウ
1979年創立,センキュウヒャクナナジュウキュウネンソウリツ
該当者,ガイトウシャ
論文調査,ロンブンチョウサ
研究成果,ケンキュウセイカ
がら研究,ガラケンキュウ
研究室メンバー,ケンキュウシツメンバー
ことに業,コトニギョウ
提出状況,テイシュツジョウキョウ
可視化,カシカ
数千,スウセン
千台,センダイ
年前,ネンマエ
Linuxディストリ,リナックスディストリ
ライブアップグレード,ライブアップグレード
筆記試験免除,ヒッキシケンメンジョ
高間研,タカマケン
国際会議,コクサイカイギ
実験内容,ジッケンナイヨウ
年前,ネンマエ
英論,エイロン
英論文,エイロンブン
毎日朝,マイニチアサ
２時間,ニジカン
時間本,ジカンホン
交代制,コウタイセイ
年次大会,ネンジタイカイ
鈴木潤さん,スズキジュンサン
ATOKさん,エイトックサン
先端人工知能,センタンジンコウチノウ
人工知能学,ジンコウチノウガク
学教育,ガクキョウイク
教育寄付,キョウイクキフ
寄付講座,キフコウザ
億人,オクニン
自動翻訳,ジドウホンヤク
国内学会,コクナイガッカイ
学会後,ガッカイゴ
音声入り,オンセイイリ
入りパワポ,イリパワポ
アートコース,アートコース
あまり貢献,アマリコウケン
NLP年次,エヌエルピーネンジ
年次大会,ネンジタイカイ
ワンクリック,ワンクリック
中村研,ナカムラケン
懇親会,コンシンカイ
月１,ツキイチ
カレー会,カレーカイ
中村研,ナカムラケン
億単語,オクタンゴ
英語コーパス,エイゴコーパス
全部プロ,ゼンブプロ
翻訳会社,ホンヤクカイシャ
億円,オクエン
情報共有,ジョウホウキョウユウ
招待講演,ショウタイコウエン
ところ博士,トコロハカセ
博士課程,ハカセカテイ
小町先生,コマチセンセイ
2日目,フツカメ
定期的,テイキテキ
先日遊び,センジツアソビ
松本研,マツモトケン
祖母様,ソボサマ
様先生,サマセンセイ
松本研,マツモトケン
小町先生,コマチセンセイ
松本研,マツモトケン
研内,ケンナイ
theart,ザエーアールティー
artな手,エーアールティーナテ
な手法,ナテホウ
研究室選び,ケンキュウシツエラビ
指導教員,シドウキョウイン
世界的,セカイテキ
的戦闘力,テキセントウリョク
京都か仙,キョウトカセン
か仙台か,カセンダイカ
ラボ内,ラボナイ
応募お待ち,オウボオマチ
経験上,ケイケンジョウ
言語処理,ゲンゴショリ
フルペーパー,フルペーパー
年分,ネンブン
研究内容,ケンキュウナイヨウ
ショートペーパー,ショートペーパー
ベースライン,ベースライン
フルペーパー,フルペーパー
フルペーパー,フルペーパー
修士以下,シュウシイカ
ショートペーパー,ショートペーパー
フルペーパー,フルペーパー
フルペーパー,フルペーパー
参加予定,サンカヨテイ
はてなブログDeep,ハテナブログディープ
最新論文,サイシンロンブン
書類仕事,ショルイシゴト
画像検索,ガゾウケンサク
小町先生,コマチセンセイ
何人,ナンニン
入試説明会,ニュウシセツメイカイ
NLP研究室,エヌエルピーケンキュウシツ
５年,ゴネン
修行感,シュギョウカン
人目,ニンメ
受験問い合わせ,ジュケントイアワセ
筆記試験免除,ヒッキシケンメンジョ
結局外部,ケッキョクガイブ
何人,ナンニン
外部生,ガイブセイ
筆記試験免除,ヒッキシケンメンジョ
外部生,ガイブセイ
工学系,コウガクケイ
最悪娘,サイアクムスメ
いま娘,イマムスメ
教え方,オシエカタ
金銭的,キンセンテキ
的問題,テキモンダイ
修行感,シュギョウカン
RT自然言語処理,アールティーシゼンゲンゴショリ
のログ,ノログ
myACL,マイエーシーエル
paperon,ペーパーオン
onlya,オンリーアール
分野的,ブンヤテキ
人目,ニンメ
暇そう,ヒマソウ
抽象的,チュウショウテキ
防御的,ボウギョテキ
万円,マンエン
計算機購入,ケイサンキコウニュウ
法定停電,ホウテイテイデン
逆側,ギャクガワ
お互い困惑,オタガイコンワク
自動修正,ジドウシュウセイ
とき意図,トキイト
Mac版,マックバン
自動修正,ジドウシュウセイ
アプリケーションごと,アプリケーションゴト
The3rd,ザサード
年ごと,トシゴト
ルールベース,ルールベース
最新テクノロジー,サイシンテクノロジー
自然言語処理技術,シゼンゲンゴショリギジュツ
全部一覧,ゼンブイチラン
出して別,ダシテベツ
別ペイン,ベツペイン
thatwill,ザットウィル
presenceat,プレゼンスアット
accepted,アクセプトイーディー
Markdownみたい,マークダウンミタイ
HTML直,エイチティーエムエルジカ
直書き,ジカガキ
LanguageModel,センゴヒャクサンジュウゴマンロッピャクロクジュウゴゼロゼロキュウナナマンハチゴゼロナナモデル
のおしゃれ,ノオシャレ
おしゃれすぎ,オシャレスギ
一版,イチハン
二週間,ニシュウカン
週間前,シュウカンマエ
激安,ゲキヤス
安セール,ヤスセール
セール中,セールチュウ
有料コンテンツ,ユウリョウコンテンツ
コンテンツ総合,コンテンツソウゴウ
総合２,ソウゴウニ
２位,ニイ
アマゾン様,アマゾンサマ
amazonJP,アマゾンジェーピー
JPさん,ジェーピーサン
基礎勉強会,キソベンキョウカイ
図書委員,トショイイン
トップ５,トップゴ
充実度,ジュウジツド
ため論文,タメロンブン
論文紹介,ロンブンショウカイ
ダブルカラム,ダブルカラム
ページ相当,ページソウトウ
シングルカラム,シングルカラム
今週末,コンシュウマツ
末停電,マツテイデン
The3rd,ザサード
wasaccept,ワイドエリアサーチアクセプト
accepted,アクセプトイーディー
edas,イーディーアズ
asa,アズアール
言語技術,ゲンゴギジュツ
技術研究所,ギジュツケンキュウジョ
研究界隈,ケンキュウカイワイ
ショートペーパー,ショートペーパー
シングルカラム,シングルカラム
ダブルカラム,ダブルカラム
ショートペーパー,ショートペーパー
ペーパー相当,ペーパーソウトウ
全員投稿,ゼンイントウコウ
今週中,コンシュウチュウ
言語処理,ゲンゴショリ
日本語二,ニホンゴニ
二重,ニジュウ
重目的語,ジュウモクテキゴ
目的語構文,モクテキゴコウブン
基本語順,キホンゴジュン
昨年秋,サクネンアキ
言語学会,ゲンゴガッカイ
NL研,エヌエルケン
テーマ的,テーマテキ
査読者,サドクシャ
paperon,ペーパーオン
onpersona,オンペルソナ
onarXiv,オンアーカイブ
構文情報,コウブンジョウホウ
構文情報,コウブンジョウホウ
ニューラルネットモデル,ニューラルネットモデル
ルール選択,ルールセンタク
業務連絡,ギョウムレンラク
研究室各位,ケンキュウシツカクイ
共同研究,キョウドウケンキュウ
研究ミーティング,ケンキュウミーティング
ため論文,タメロンブン
論文紹介,ロンブンショウカイ
研究室あたり,ケンキュウシツアタリ
年目,ネンメ
校費,コウヒ
研究費,ケンキュウヒ
費獲得,ヒカクトク
旅費その他,リョヒソノタ
数千,スウセン
千万,センマン
万単位,マンタンイ
昨日秘書,キノウヒショ
秘書さん,ヒショサン
小町研,コマチケン
研究費,ケンキュウヒ
年目,ネンメ
割程度,ワリテイド
判断材料,ハンダンザイリョウ
本目,ホンメ
英文校正,エイブンコウセイ
ギリギリ感,ギリギリカン
accepted,アクセプトイーディー
edat,イーディーアット
ドアノック,ドアノック
配送業者,ハイソウギョウシャ
者駆逐,シャクチク
駅分,エキブン
距離的,キョリテキ
高い授業料,コウイジュギョウリョウ
最近毎日,サイキンマイニチ
毎日娘,マイニチムスメ
system demo,システムディエモ
回勉強会,カイベンキョウカイ
人工知能学会後,ジンコウチノウガッカイゴ
次第お知らせ,シダイオシラセ
全員参加,ゼンインサンカ
自然言語処理コース,シゼンゲンゴショリコース
基本優秀,キホンユウシュウ
開始時刻,カイシジコク
さそう,サソウ
3分遅れ,サンプンオクレ
乗り継ぎ失敗,ノリツギシッパイ
年向け,ネンムケ
万ドル,マンドル
研究費,ケンキュウヒ
権利付き,ケンリツキ
博士時代,ハカセジダイ
インターン成果,インターンセイカ
