2016年夏,ニセンジュウロクネンナツ
目発表,メハッピョウ
発表内容,ハッピョウナイヨウ
内容まとめ,ナイヨウマトメ
Facebookニュースルーム,フェイスブックニュースルーム
最新研究,サイシンケンキュウ
チャットbot,チャットボット
botAPI,ボットエーピーアイ
プラットフォーム上,プラットフォームジョウ
各種サービス,カクシュサービス
IR掲示板,アイアールケイジバン
商標関連,ショウヒョウカンレン
何回,ナンカイ
報道時,ホウドウジ
保存ボタン,ホゾンボタン
ローンチパートナー,ローンチパートナー
Facebookニュースルーム,フェイスブックニュースルーム
開発者カンファレンス,カイハツシャカンファレンス
1日目,ツイタチメ
目発表,メハッピョウ
発表内容,ハッピョウナイヨウ
内容まとめ,ナイヨウマトメ
Facebookニュースルーム,フェイスブックニュースルーム
引用付き,インヨウツキ
付きシェア,ツキシェア
保存ボタン,ホゾンボタン
出版元,シュッパンモト
インスタント記事,インスタントキジ
インスタント記事,インスタントキジ
ネイティブ広告出稿,ネイティブコウコクシュッコウ
ビジネスアカウント,ビジネスアカウント
ビジネスアカウント,ビジネスアカウント
広告費,コウコクヒ
メディア・リテラシーそのもの,メディアリテラシーソノモノ
関連リンク,カンレンリンク
インターネットメディア,インターネットメディア
CA藤田晋,カリフォルニアフジタススム
藤田晋氏,フジタススムシ
24時間編成,ニジュウヨジカンヘンセイ
会員登録,カイイントウロク
登録不要,トウロクフヨウ
視聴習慣,シチョウシュウカン
ネットサービス,ネットサービス
メイン視聴者層,メインシチョウシャソウ
本格参入,ホンカクサンニュウ
ネット広告,ネットコウコク
人が能動,ジンガノウドウ
能動的,ノウドウテキ
ネット発,ネットハツ
インターネット発,インターネットハツ
一日,イチニチ
万人,マンニン
週3日,シュウミッカ
前沢流,マエサワリュウ
方スタートトゥデイ,カタスタートトゥデイ
スタートトゥデイ社長,スタートトゥデイシャチョウ
前沢友作,マエサワトモサク
友作氏,トモサクシ
前沢さん,マエサワサン
覚悟宮坂,カクゴミヤサカ
宮坂社長,ミヤサカシャチョウ
月間アクティブ,ゲッカンアクティブ
アクティブユーザー,アクティブユーザー
ユーザー数,ユーザースウ
12月期,ジュウニガツキ
前年同期,ゼンネンドウキ
万増,マンゾウ
2016年本屋大賞,ニセンジュウロクネンホンヤタイショウ
宮下奈都,ミヤシタナミ
奈都さん,ナミサン
初版部数,ショハンブスウ
本屋大賞きっかけ,ホンヤタイショウキッカケ
ミリオン突破,ミリオントッパ
受賞コメント,ジュショウコメント
2016年本屋大賞,ニセンジュウロクネンホンヤタイショウ
宮下奈都さん,ミヤシタナツサン
本屋大賞翻訳,ホンヤタイショウホンヤク
翻訳小説,ホンヤクショウセツ
小説発表,ショウセツハッピョウ
発表会,ハッピョウカイ
社長人事,シャチョウジンジ
藤野英人さん,フジノヒデトサン
主人公チョン・ジヒョン,シュジンコウチョンジヒョン
ファンたち,ファンタチ
ツイート共有,ツイートキョウユウ
公式アプリ,コウシキアプリ
専用ボタン,センヨウボタン
ボタン追加,ボタンツイカ
メッセージ数,メッセージスウ
％増加,パーセントゾウカ
2015年下半期,ニセンジュウゴネンシモハンキ
仁美さん,ヒトミサン
孫さん,マゴサン
柳井氏,ヤナイシ
孫正義さん,ソンマサヨシサン
柳井正さん,ヤナイタダシサン
柳井さん,ヤナイサン
最終目標,サイシュウモクヒョウ
中古家電,チュウコカデン
中古家電,チュウコカデン
家電市場,カデンシジョウ
先発組,センパツグミ
定期券購入,テイキケンコウニュウ
LINE Payカード,ラインペイカード
LINEアプリ,ラインアプリ
届け方,トドケカタ
デジタルジャーナリズム,デジタルジャーナリズム
ジャーナリズムフォーラム,ジャーナリズムフォーラム
内容まとめ,ナイヨウマトメ
インターネットテレビ局,インターネットテレビキョク
局AbemaTV,キョクアベマティービー
社長解任,シャチョウカイニン
解任反対,カイニンハンタイ
穐田氏,アキタシ
社長復帰,シャチョウフッキ
人中,ニンチュウ
人超,ニンチョウ
LINE公式アカウント,ラインコウシキアカウント
今後LINE LIVE,コンゴラインライブ
視聴者数,シチョウシャスウ
万人,マンニン
映画関連,エイガカンレン
万人,マンニン
人以上,ニンイジョウ
万円,マンエン
円以上,エンイジョウ
最上級スイート,サイジョウキュウスイート
災害情報,サイガイジョウホウ
最新ニュース,サイシンニュース
株式会社AbemaTV,カブシキガイシャアベマティーヴィー
ブランド統一,ブランドトウイツ
動画事業,ドウガジギョウ
真相実質,シンソウジッシツ
社員集会,シャインシュウカイ
岩田氏,イワタシ
穐田氏,アキタシ
穐田氏,アキタシ
米ヤフー,ベイヤフー
暫定買収,ザンテイバイシュウ
買収案,バイシュウアン
提出期限,テイシュツキゲン
買い手候補,カイテコウホ
スペシャル企画,スペシャルキカク
コーラス参加,コーラスサンカ
ゲストボーカル,ゲストボーカル
応用編,オウヨウヘン
LINE英語,ラインエイゴ
英語通訳,エイゴツウヤク
同時翻訳,ドウジホンヤク
中立性,チュウリツセイ
業界全体,ギョウカイゼンタイ
SNS専用,エスエヌエスセンヨウ
専用スマホ,センヨウスマホ
複数台,フクスウダイ
台持ち,ダイモチ
松田公太さん,マツダコウタサン
乙武洋匡さん,オトタケヒロタダサン
不倫旅行,フリンリョコウ
旅行暴露,リョコウバクロ
釈明記事,シャクメイキジ
松田さん,マツダサン
さんサイド,サンサイド
法的措置,ホウテキソチ
文春砲スズキ,ブンシュンホウスズキ
文春砲Live,ブンシュンホウライブ
週刊文春デジタル,シュウカンブンシュンデジタル
本編内容,ホンペンナイヨウ
画面キャプチャー,ガメンキャプチャー
キャプチャー等,キャプチャートウ
次利用,ジリヨウ
LINEグッズ,ライングッズ
フォトレポート,フォトレポート
LINEキャラクター,ラインキャラクター
フォトレポート,フォトレポート
LINEモバイル,ラインモバイル
モバイルシフト,モバイルシフト
格安SIM,カクヤスエスアイエム
SIMサービス,エスアイエムサービス
LINE無料,ラインムリョウ
中立性,チュウリツセイ
AMPエラー,アンプエラー
AMP関連,アンプカンレン
グループ通話,グループツウワ
LINE上,ラインジョウ
年目,ネンメ
広告事業戦略,コウコクジギョウセンリャク
広告事業,コウコクジギョウ
本柱,ホンバシラ
企業公式アカウント,キギョウコウシキアカウント
フリーコイン,フリーコイン
発想狙い,ハッソウネライ
フランス人社員,フランスジンシャイン
海外企業,カイガイキギョウ
金属加工会社,キンゾクカコウカイシャ
ニュース事業,ニュースジギョウ
ニュース事業,ニュースジギョウ
LINE全体,ラインゼンタイ
戦略変化,センリャクヘンカ
スマホ上,スマホジョウ
ライン福岡,ラインフクオカ
事業拡大,ジギョウカクダイ
新サービス開発,シンサービスカイハツ
開発強化,カイハツキョウカ
６５,ロクゴ
５０,ゴゼロ
０人,ゼロニン
人体制,ニンタイセイ
今年５月,コトシゴガツ
ＪＲ博多駅,ジェイアールハカタエキ
博多駅前,ハカタエキマエ
博多ビル,ハカタビル
飲食店予約,インショクテンヨヤク
予約機能,ヨヤクキノウ
バルサスタイル,バルサスタイル
伝説ヨハン・クライフ,デンセツヨハンクライフ
ヨハン・クライフ氏,ヨハンクライフシ
氏死去,シシキョ
がん闘病,ガントウビョウ
６８,ロクハチ
８歳,ハチサイ
西きょうじ先生,ニシキョウジセンセイ
サッカー日本代表戦,サッカーニッポンダイヒョウセン
西きょうじ先生,ニシキョウジセンセイ
今井宏先生,イマイヒロシセンセイ
吉野敬介先生,ヨシノケイスケセンセイ
LINE今夏,ラインコンカ
MVNO事業,エムブイエヌオージギョウ
LINEモバイル,ラインモバイル
社員全員,シャインゼンイン
無料配布,ムリョウハイフ
強化策,キョウカサク
LINEアプリ,ラインアプリ
滞留時間,タイリュウジカン
外部メディア,ガイブメディア
使い放題,ツカイホウダイ
コミュニケーションサービス,コミュニケーションサービス
使い放題,ツカイホウダイ
MVNO事業,エムブイエヌオージギョウ
関連サービス,カンレンサービス
ストリーミング型,ストリーミングガタ
音楽配信サービス,オンガクハイシンサービス
通信料無料,ツウシンリョウムリョウ
メッセージングサービス,メッセージングサービス
LINE出澤,ラインイデサワ
出澤CEO,イデサワシーイーオー
コミュニケーション起点,コミュニケーションキテン
スマホ時代,スマホジダイ
App Store以来,アップストアイライ
運用型,ウンヨウガタ
型広告,ガタコウコク
ファッション系,ファッションケイ
多数友達,タスウトモダチ
20代女性,ニジュウダイジョセイ
グループ通話,グループツウワ
これSkype,コレスカイプ
笑笑テンション,ワラワラテンション
テンションMAX,テンションマックス
ニュース形式,ニュースケイシキ
アカウントプラットフォーム,アカウントプラットフォーム
再訪率,サイホウリツ
一記事,イチキジ
ヤフーVS,ヤフーバーサス
VSLINE,バーサスライン
アゴラ編集長,アゴラヘンシュウチョウ
新田哲史,ニッタテツシ
哲史さん,テツシサン
一日,イチニチ
地方紙,チホウシ
スタンプ付き,スタンプツキ
ニュース事業,ニュースジギョウ
ファン作り,ファンヅクリ
ニュース機能,ニュースキノウ
機能拡充,キノウカクジュウ
ニュース枠,ニュースワク
ニュース機能,ニュースキノウ
LINE地方,ラインチホウ
地方ニュース,チホウニュース
ニュース配信,ニュースハイシン
LINEアカウント,ラインアカウント
ぐるなびNEWS,グルナビニュース
グルメ記事,グルメキジ
記事情報,キジジョウホウ
毎日配信,マイニチハイシン
4Gamer読者,フォーゲーマードクシャ
友だち登録,トモダチトウロク
ニュース事業,ニュースジギョウ
LINEユーザー,ラインユーザー
LINEアプリ,ラインアプリ
連携強化,レンケイキョウカ
新規参画,シンキサンカク
糸井重里さん,イトイシゲサトサン
共感性,キョウカンセイ
意外性,イガイセイ
鳥居洋介,トリイヨウスケ
洋介社長,ヨウスケシャチョウ
社長インタビュー,シャチョウインタビュー
休廃業調査,キュウハイギョウチョウサ
ファイナンス機能,ファイナンスキノウ
ファイナンス機能,ファイナンスキノウ
取引先,トリヒキサキ
出版取次太洋社,シュッパントリツギタイヨウシャ
太洋社自主廃業,タイヨウシャジシュハイギョウ
自主廃業方針,ジシュハイギョウホウシン
７６,ナナロク
６億,ロクオク
億２,オクニ
２９,ニキュウ
９６,キュウロク
６４,ロクヨン
４万,ヨンマン
万円,マンエン
ピーク時,ピークジ
売上高４,ウリアゲダカヨン
４８,ヨンハチ
８６,ハチロク
６億,ロクオク
億６,オクロク
６７,ロクナナ
７２,ナナニ
２１,ニイチ
１万,イチマン
万円,マンエン
２７,ニナナ
７年,ナナネン
年６月,ネンロクガツ
６月期,ロクガツキ
１７,イチナナ
７１,ナナイチ
１億,イチオク
億２,オクニ
２１,ニイチ
１５,イチゴ
５２,ゴニ
２万,ニマン
万円,マンエン
地方新聞,チホウシンブン
SNS化,エスエヌエスカ
止めよう,トメヨウ
ホリエモン的,ホリエモンテキ
的常識,テキジョウシキ
紙媒体,カミバイタイ
中長期的,チュウチョウキテキ
地方新聞,チホウシンブン
ハフポスト日本版,ハフポストニホンバン
竹下隆一郎,タケシタリュウイチロウ
隆一郎氏,リュウイチロウシ
竹下氏,タケシタシ
4月末,シガツマツ
5月1日付,ゴガツツイタチヅケ
山本一郎さん,ヤマモトイチロウサン
NewsPicks上,ニューズピックスジョウ
有料サービス,ユウリョウサービス
開始ネットフリックス,カイシネットフリックス
国内最多,コクナイサイタ
○○,レイレイ
バズる見出し,バズルミダシ
日経電子,ニッケイデンシ
電子版,デンシバン
有料会員,ユウリョウカイイン
万人,マンニン
一般会員,イッパンカイイン
万人,マンニン
億PV,オクピーブイ
高年収,ダカネンシュウ
有料会員,ユウリョウカイイン
興味関心,キョウミカンシン
利用時間,リヨウジカン
プラットフォーム各社,プラットフォームカクシャ
デジタルジャーナリズム,デジタルジャーナリズム
ジャーナリズムフォーラム,ジャーナリズムフォーラム
PC離れ,ピーシーバナレ
新聞離れ,シンブンバナレ
ニュースサービス,ニュースサービス
災害時,サイガイジ
活用方法,カツヨウホウホウ
地震発生,ジシンハッセイ
発生時,ハッセイジ
災害対策,サイガイタイサク
対策支援,タイサクシエン
東日本大震災発生,ヒガシニホンダイシンサイハッセイ
発生後,ハッセイゴ
2011年6月,ニセンジュウイチネンロクガツ
文春記者,ブンシュンキシャ
中村竜太郎氏,ナカムラリュウタロウシ
取材費,シュザイヒ
ケチら,ケチラ
電子版,デンシバン
前期比,ゼンキヒ
％増,パーセントゾウ
億円,オクエン
％減,パーセントゲン
億円,オクエン
世代間,セダイカン
ニュースサービス,ニュースサービス
サービス利用,サービスリヨウ
ニュース閲覧,ニュースエツラン
利用率,リヨウリツ
成長鈍化,セイチョウドンカ
アジアサイト,アジアサイト
電子書籍低迷,デンシショセキテイメイ
自社独自,ジシャドクジ
独自記事,ドクジキジ
１億,イチオク
億突破,オクトッパ
本格メディア,ホンカクメディア
独自記事,ドクジキジ
Yahoo!ニュース個人,ヤフーニュースコジン
ページ閲覧,ページエツラン
閲覧数,エツランスウ
１億,イチオク
億回,オクカイ
自社独自,ジシャドクジ
独自記事,ドクジキジ
岡田さん,オカダサン
週刊文春編集長,シュウカンブンシュンヘンシュウチョウ
広告主,コウコクヌシ
ユーザー情報,ユーザージョウホウ
効果的,コウカテキ
広告配信,コウコクハイシン
ユーザー定義,ユーザーテイギ
定義オーディエンス,テイギオーディエンス
広告最適化,コウコクサイテキカ
地域ニュース,チイキニュース
開封率,カイフウリツ
地域ニュース,チイキニュース
苅田さん,カリタサン
渡辺雅隆社長,ワタナベマサタカシャチョウ
社長インタビュー,シャチョウインタビュー
亀松太郎さん,カメマツタロウサン
プレスリリース配信,プレスリリースハイシン
東証マザーズ上場,トウショウマザーズジョウジョウ
万円,マンエン
万円,マンエン
ニュースアプリ比較,ニュースアプリヒカク
比較分析,ヒカクブンセキ
ユーザー層,ユーザーソウ
アプリ限定,アプリゲンテイ
島村氏,シマムラシ
みなさんヤフー,ミナサンヤフー
ヤフートピックス,ヤフートピックス
取捨選択基準,シュシャセンタクキジュン
朝日さん,アサヒサン
編成権,ヘンセイケン
ニュースビジネス,ニュースビジネス
入り口開放,イリクチカイホウ
LINEアカウント,ラインアカウント
アカウントメディア,アカウントメディア
ボクら,ボクラ
刺激強,シゲキキョウ
強め,キョウメ
グノシー福島,グノシーフクシマ
刺激的,シゲキテキ
スマニュー,スマニュー
ニュー藤村,ニューフジムラ
藤村氏,フジムラシ
日々１,ヒビイチ
１千,イチセン
千万,センマン
万本,マンホン
毎日７,マイニチナナ
７０,ナナゼロ
００,ゼロゼロ
８０,ハチゼロ
００,ゼロゼロ
０社,ゼロシャ
個人ブロガー,コジンブロガー
１千,イチセン
千本,センホン
ニュースビジネス,ニュースビジネス
記事選別,キジセンベツ
2015年日本の広告費,ニセンジュウゴネンニホンノコウコクヒ
インターネット広告費,インターネットコウコクヒ
年連続,ネンレンゾク
プラス成長,プラスセイチョウ
電通報,デンツウホウ
広告費,コウコクヒ
半分以上,ハンブンイジョウ
年半,ネンハン
ヤフー宮坂,ヤフーミヤサカ
宮坂社長,ミヤサカシャチョウ
沢木さん,サワキサン
立花隆さん,タチバナタカシサン
独自発信,ドクジハッシン
月間１,ゲッカンイチ
１３,イチサン
３０,サンゼロ
０億,ゼロオク
億ページビュー,オクページビュー
総合月刊誌,ソウゴウゲッカンシ
立花隆さん,タチバナタカシサン
女性向け,ジョセイムケ
向けメディア,ムケメディア
外部パートナー,ガイブパートナー
独自機能,ドクジキノウ
収益化,シュウエキカ
デバイス比率,デバイスヒリツ
取次最大手,トリツギサイオオテ
本業赤字転落,ホンギョウアカジテンラク
出版業界,シュッパンギョウカイ
本格的,ホンカクテキ
的崩壊,テキホウカイ
崩壊開始,ホウカイカイシ
出版業界,シュッパンギョウカイ
大手書店,オオテショテン
帳合先,チョウアイサキ
先変更,サキヘンコウ
書店側,ショテンガワ
2016年1月,ニセンジュウロクネンイチガツ
PV比率,ピーブイヒリツ
ニュースアプリ,ニュースアプリ
地域別,チイキベツ
別プッシュ,ベツプッシュ
テーマ機能,テーマキノウ
スマホ利用者,スマホリヨウシャ
４７,ヨンナナ
７３,ナナサン
３５,サンゴ
５万,ゴマン
万人,マンニン
２位,ニイ
４４,ヨンヨン
４４,ヨンヨン
４６,ヨンロク
６万,ロクマン
万人,マンニン
３位,サンイ
３８,サンハチ
８０,ハチゼロ
０８,ゼロハチ
８万,ハチマン
万人,マンニン
３６,サンロク
６４,ロクヨン
４４,ヨンヨン
４万,ヨンマン
万人,マンニン
３年,サンネン
年連続,ネンレンゾク
インスタント記事,インスタントキジ
メディア媒体,メディアバイタイ
媒体社,バイタイシャ
提供開始,テイキョウカイシ
記事内,キジナイ
媒体社,バイタイシャ
媒体社,バイタイシャ
国内ユーザー,コクナイユーザー
万人,マンニン
コメント関連,コメントカンレン
関連データ,カンレンデータ
SMAP騒動,スマップソウドウ
女性PV,ジョセイピーブイ
男性PV,ダンセイピーブイ
会議メモ,カイギメモ
Yahoo!トピックス,ヤフートピックス
文字量,モジリョウ
タイムライン機能,タイムラインキノウ
一番上,イチバンジョウ
2月18日発売,ニガツジュウハチニチハツバイ
発売号,ハツバイゴウ
生まれる。報道機関,ウマレルホウドウキカン
インスタント記事,インスタントキジ
コンテンツ配信,コンテンツハイシン
配信業者,ハイシンギョウシャ
分散型メディア,ブンサンガタメディア
不倫宮崎,フリンミヤザキ
宮崎氏,ミヤザキシ
LINE社員,ラインシャイン
開設済,カイセツスミ
実施該当,ジッシガイトウ
該当スタンプ,ガイトウスタンプ
決済手数料,ケッサイテスウリョウ
日本赤十字社,ニホンセキジュウジシャ
復旧支援金,フッキュウシエンキン
育休国会議員,イクキュウコッカイギイン
ゲス不倫,ゲスフリン
宮崎謙介衆院議員,ミヤザキケンスケシュウインギイン
宮崎氏,ミヤザキシ
育児休暇取得,イクジキュウカシュトク
取得宣言,シュトクセンゲン
文春砲メモ,ブンシュンホウメモ
やまもといちろうさん,ヤマモトイチロウサン
徹底討論,テッテイトウロン
横領金,オウリョウキン
流出先,リュウシュツサキ
暴力団関係者,ボウリョクダンカンケイシャ
収集方法,シュウシュウホウホウ
Webニュース,Webニュース
12月決算,ジュウニガツケッサン
それ以降,ソレイコウ
清原和博容疑者,キヨハラカズヒロヨウギシャ
覚せい剤取締法違反,カクセイザイトリシマリホウイハン
違反容疑,イハンヨウギ
TBSNews,ティービーエスニュース
清原和博容疑者,キヨハラカズヒロヨウギシャ
４８,ヨンハチ
覚せい剤取締法違反,カクセイザイトリシマリホウイハン
現行犯逮捕,ゲンコウハンタイホ
人クラス,ニンクラス
糸井重里さん,イトイシゲサトサン
一日,イチニチ
日中,ニチチュウ
2015年通期,ニセンジュウゴネンツウキ
通期売上,ツウキウリアゲ
％増,パーセントゾウ
億円,オクエン
月間アクティブ,ゲッカンアクティブ
アクティブユーザー,アクティブユーザー
ユーザー数,ユーザースウ
万人,マンニン
万人,マンニン
BuzzFeedJapan,バズフィードジャパン
バズら,バズラ
ふじいりょう,フジイリョウ
Yahoo!ニュース個人,ヤフーニュースコジン
長い目,ナガイメ
独占手記,ドクセンシュキ
小保方晴子,オボカタハルコ
晴子氏,ハルコシ
イラク相手,イラクアイテ
ニュースメディア,ニュースメディア
新聞発行部数,シンブンハッコウブスウ
万部,マンブ
モバイルニュース,モバイルニュース
2016年度,ニセンジュウロクネンド
万人,マンニン
2016年モバイル,ニセンジュウロクネンモバイル
モバイルニュースアプリ,モバイルニュースアプリ
ニュースアプリ市場,ニュースアプリシジョウ
市場動向,シジョウドウコウ
動向調査,ドウコウチョウサ
利用率,リヨウリツ
利用率,リヨウリツ
位以下,イイカ
利用率,リヨウリツ
率増加,リツゾウカ
店体制,テンタイセイ
白井氏,シライシ
就職雑誌,シュウショクザッシ
似鳥氏,ニタドリシ
アプリ売上,アプリウリアゲ
世界首位,セカイシュイ
ゲームアプリ,ゲームアプリ
アプリ以外,アプリイガイ
アプリメーカー,アプリメーカー
メーカー別,メーカーベツ
別収益,ベツシュウエキ
収益額,シュウエキガク
額順,ガクジュン
甘利大臣,アマリダイジン
大臣報道,ダイジンホウドウ
週刊文春記事,シュウカンブンシュンキジ
著作権法上,チョサクケンホウジョウ
報道目的,ホウドウモクテキ
引用先,インヨウサキ
LINE画面,ラインガメン
サイバーエージェント参入,サイバーエージェントサンニュウ
チャンネルＴＶ,チャンネルテレビ
ＴＶ離れ,テレビバナレ
視聴者争奪,シチョウシャソウダツ
20歳代,ニジュッサイダイ
日本円両替機,ニホンエンリョウガエキ
両替機設置,リョウガエキセッチ
無休24時間,ムキュウニジュウヨジカン
24時間対応,ニジュウヨジカンタイオウ
万円,マンエン
24時間外貨,ニジュウヨジカンガイカ
ベッキーさん,ベッキーサン
さん不倫,サンフリン
不倫報道,フリンホウドウ
ゲス乙女,ゲスオトメ
川谷さん,カワタニサン
さん側,サンガワ
川谷さん,カワタニサン
さん側,サンガワ
川谷さん,カワタニサン
さん側,サンガワ
億円,オクエン
2015年7月,ニセンジュウゴネンシチガツ
7月期,シチガツキ
前期比,ゼンキヒ
％増,パーセントゾウ
万円,マンエン
％増,パーセントゾウ
万円,マンエン
％減,パーセントゲン
最終利益,サイシュウリエキ
万円,マンエン
BuzzFeedJapan,バズフィードジャパン
記者発表,キシャハッピョウ
発表会,ハッピョウカイ
スタート時点,スタートジテン
古田氏,フルタシ
編集長以外,ヘンシュウチョウイガイ
ニュース部門,ニュースブモン
４人,ヨンニン
バズ部門,バズブモン
３人,サンニン
人在籍,ニンザイセキ
BuzzFeedJapan,バズフィードジャパン
正式発表,セイシキハッピョウ
SMAP騒動,スマップソウドウ
日経電子,ニッケイデンシ
電子版,デンシバン
日経電子,ニッケイデンシ
電子版,デンシバン
独自コンテンツ,ドクジコンテンツ
記事提供,キジテイキョウ
SMAP草彅,スマップクサナギ
草彅剛,クサナギツヨシ
今回ジャニーさん,コンカイジャニーサン
木村くん,キムラクン
いま僕ら,イマボクラ
案内役,アンナイヤク
松田法子,マツダノリコ
法子さん,ノリコサン
スターみたい,スターミタイ
桑子真帆アナ,クワコマホアナ
ジブリ作品,ジブリサクヒン
一番好き,イチバンスキ
インスタント記事,インスタントキジ
テスト導入,テストドウニュウ
導入開始,ドウニュウカイシ
ウェブ記事,ウェブキジ
BLOGOS編集長,ブロゴスヘンシュウチョウ
HRナビ,エイチアールナビ
大谷広太,オオヤヒロタ
広太さん,ヒロタサン
月間ページビュー,ゲッカンページビュー
禁断愛,キンダンアイ
ゲス乙女,ゲスオトメ
独占告白,ドクセンコクハク
一番ショック,イチバンショック
月間アクティブ,ゲッカンアクティブ
アクティブユーザー,アクティブユーザー
ユーザー数,ユーザースウ
万人,マンニン
